"","B cell","Dendritic cell","Macrophage","Neutrophil","T cell","Basophil","Monocyte","NK cell"
"Lck",5.19826962713627,3.99325527036666,3.04376038552841,0,7.76597668082528,3.63938476725441,0,9.04087677903621
"Ly6g",0,0,0,0,0,9.40347600884886,6.87063719610169,3.25873426840017
"Lyz1",0,4.54770027401481,7.18910833236434,9.43735195721415,0,4.39624901000793,4.13541876945631,0
"Mcemp1",0,6.99848518269137,5.07076264786783,8.59101880064125,0,9.52628342479592,8.40095018032428,5.25334100962995
"Mfsd7a",0,0,2.2088881569867,0,0,0,5.09377866262286,0
"Mmp25",0,3.08111573448446,0,0,0,4.74351311626598,0,0
"Ms4a2",0,0,0,0,0,5.71633059328279,0,0
"Ms4a4b",0,3.08111573448446,3.04376038552841,0,8.64745842645492,3.9379702621365,5.8137457654895,10.76095750634
"Mzb1",9.40848138790485,0,0,0,0,2.75074777180255,2.70594736231395,5.71228133078561
"Ncr1",0,0,0,0,0,0,0,9.33698466919024
"Nkg7",0,0,4.50710518018993,0,9.86779352831134,7.95080862346928,6.80086415646931,11.6710987257485
"Nudt17",0,5.25977839011765,0,0,0,0,2.70594736231395,0
"Olr1",0,0,0,0,0,5.25736082416071,0,0
"Padi4",0,0,3.04376038552841,0,0,6.57827265487946,5.09377866262286,3.25873426840017
"Prf1",0,0,0,0,6.39803107397315,0,0,8.94377066130966
"Prg3",0,0,0,0,0,3.9379702621365,3.59092816755755,0
"Prss57",0,0,0,0,0,7.05316736574822,5.09377866262286,0
"Rab44",0,0,0,7.27469173878025,0,7.08396310996745,5.9489157173668,2.74723392962003
"Rasgrp4",0,5.25977839011765,3.56919518486284,0,0,7.40985287474539,6.87063719610169,4.57634937041645
"Retnlg",0,0,0,10.9665054519057,0,3.26243143449706,7.56106109761186,7.94669744547132
"Rgs18",0,3.99325527036666,0,0,0,6.23837736292839,5.31012316009295,2.74723392962003
"Sh2d1a",0,0,0,0,6.08037341646402,0,0,6.73760951073164
"Sh2d2a",5.19826962713627,0,2.2088881569867,0,8.2336196767597,0,2.70594736231395,7.60944260554845
"Siglecf",0,0,0,0,0,3.26243143449706,3.59092816755755,0
"Skint3",0,4.54770027401481,4.50710518018993,0,0,0,2.70594736231395,3.25873426840017
"Slamf8",0,6.37659517740806,7.07743497885315,0,0,1.95059140673861,4.13541876945631,3.63558857379112
"Spib",5.19826962713627,3.08111573448446,3.56919518486284,0,0,4.18523043637647,5.09377866262286,5.78883483408681
"Tal1",0,0,0,0,0,1.95059140673861,0,0
"Tarm1",0,0,3.56919518486284,7.27469173878025,4.14295795384205,2.75074777180255,0,0
"Tcf7",0,0,0,0,6.08037341646402,1.95059140673861,0,6.33985000288462
"Tgtp2",0,4.94723348296767,3.95352168094232,0,0,0,3.59092816755755,4.57634937041645
