"","B cell","Dendritic cell","Macrophage","Monocyte","Neutrophil","Basophil","NK cell","T cell"
"Themis",0,0,0,0,2.17668236761762,1.95059140673861,3.63558857379112,5.3905835979831
"Tlr13",0,0,5.1490462717664,5.50603203149944,4.21766763174215,0,2.74723392962003,2.18929666850891
"Tlr5",0,0,0,0,2.17668236761762,0,0,0
"Tnfrsf13c",5.65485699237348,0,0,0,2.17668236761762,0,4.88613203544172,3.61776446105328
"Tnfrsf18",3.73830080485003,5.74501082272223,2.75427319726132,4.53743413063857,4.21766763174215,4.74351311626598,6.33985000288462,6.11372671111375
"Tpsb2",0,0,0,0,0,0,0,0
"Trac",0,0,0,0,0,0,6.65821148275179,9.04925878255093
"Xlr4b",4.28677164947374,0,2.75427319726132,0,0,1.95059140673861,2.74723392962003,5.3905835979831
"Zap70",0,0,0,0,2.17668236761762,1.95059140673861,6.28804210073495,6.60202971848668
"9830107B12Rik",0,0,2.75427319726132,0,6.41797133834607,6.29211723603162,0,1.12891602791321
"A530030E21Rik",0,0,0,0,0,0,3.93411206434354,2.18929666850891
"Arhgef37",0,0,0,0,0,0,1.94753258010587,0.672173496803554
"Camp",6.54832244678131,5.74501082272223,9.68446650557071,4.53743413063857,14.9219921481832,15.7731649689011,0,3.0217749381831
"Cebpe",5.65485699237348,0,7.65927829179512,7.06967352780681,8.76187893148982,10.1602073492987,3.63558857379112,1.75441175771039
"Gfi1b",0,0,0,0,2.17668236761762,1.95059140673861,0,0
"Gm16194",0,0,0,0,2.17668236761762,2.75074777180255,0,0
"Gm43291",6.34424110364447,0,2.75427319726132,0,2.17668236761762,2.75074777180255,4.18132976471456,3.0217749381831
"Ngp",5.97104674591309,5.74501082272223,6.62499498058734,0,15.5367393016927,16.1022744962907,4.57634937041645,4.08947602147011
"Pax5",5.65485699237348,0,0,0,0,0,4.88613203544172,3.98520851480646
"Prg2",5.82159684463338,5.74501082272223,6.44637032653567,6.08037341646402,10.3407120760306,5.86558705198419,1.94753258010587,0.672173496803554
"Ccr6",0,0,0,0,0,0,0,2.79383723760097
"Clec4a4",0,0,2.75427319726132,0,0,0,1.94753258010587,0
"Ear6",2.8425443505199,0,3.64319272917858,0,8.29636692263854,2.75074777180255,2.74723392962003,0.672173496803554
"Epx",0,0,0,0,6.47618998003378,1.95059140673861,1.94753258010587,0.672173496803554
"Tmigd3",0,0,0,0,0,0,0,0.672173496803554
"4930430E12Rik",0,0,2.75427319726132,0,2.17668236761762,0,0,0
"Muc6",0,0,0,0,0,0,0,0
"Prr33",0,0,0,0,0,0,0,0
