"","B cell","Dendritic cell","Eosinophils","Macrophage","Mast cell","Monocyte","Neutrophil","NK cell","T cell","Basophil"
"Cd7",3.22717304417762,9.14029588567252,4.23703919730085,3.5525556868736,5.01122725542325,5.24933296415472,3.63859591250246,9.19064778003838,7.34532683663912,5.02319433556088
"Cd79a",9.71781017785211,7.06513489178974,6.17848701494574,6.79464835660763,7.97154355395077,6.09465976423975,6.88433581272326,6.39803107397315,6.80878545766404,5.14502337300783
"Cd79b",9.43943312764683,7.79778463495521,5.77007390597814,7.36356667793549,7.97154355395077,6.35417145108548,7.29300722926468,6.97727992349992,7.25280876313845,4.74351311626598
"Cd83",3.60317129921064,4.32101470768313,0,2.19465995919626,0,2.59705557270918,2.08469066874335,0,0,0
"Cd8a",2.49744379194546,4.71789329468127,0,2.8602041518545,5.01122725542325,1.4241167931897,2.08469066874335,0,7.34532683663912,0
"Cd8b1",3.48839267895699,7.06513489178974,5.19826962713627,3.43815951738375,0,3.85479494097318,2.86147107195897,0,7.80233684729098,2.75074777180255
"Clec2g",0,0,0,0,0,0,0,0,0,0
"Clec4a3",3.60317129921064,4.32101470768313,0,6.05083185891586,6.56605403817109,6.64856034436921,3.89062728524643,0,3.47261905086962,1.95059140673861
"Clec4e",5.14513194408217,5.02881530961211,5.19826962713627,5.86406429681424,5.01122725542325,6.12976869109225,7.45991872269452,0,3.47261905086962,6.1825579883989
"Clec5a",4.94203479173508,5.02881530961211,5.77007390597814,6.48463737812702,5.01122725542325,5.73304386170367,6.71065387469709,0,4.40612983121254,7.40985287474539
"Cma1",0.948128365801257,0,0,0,0,0,0.518278820511135,0,0,0
"Ctsw",3.98822008469101,5.02881530961211,0,3.43815951738375,5.01122725542325,2.95121602057716,3.73541355846068,9.29001884693262,8.95404940091953,0
"Cxcl2",3.98822008469101,4.71789329468127,0,4.88862345764722,6.97727992349992,5.42919889769276,6.49599407746061,6.39803107397315,6.35417145108548,3.63938476725441
"Cxcl3",0,0,0,0,0,0,0.282288864492262,0,0,0
"Cxcr2",3.98822008469101,5.28446540386771,0,4.43111818252987,5.01122725542325,2.95121602057716,6.82507114888183,0,0,6.34392699889581
"Cxcr6",0.948128365801257,0,0,0,0,0,1.66048489882092,6.39803107397315,6.80878545766404,0
"Dpep2",2.90796283277485,4.32101470768313,0,3.02779722102158,0,3.67632516281832,1.32932989645468,0,3.47261905086962,0
"Ear1",0.948128365801257,0,0,0,0,0,2.98475853534983,0,0,1.95059140673861
"Ear2",3.48839267895699,6.00654801043969,5.19826962713627,5.12884051769575,0,6.38355884924297,6.39587274625999,5.41503749927884,3.47261905086962,6.77981811141087
"F630040K05Rik",1.5153774254052,0,0,0,0,0,0,0,0,0
"F730016J06Rik",1.5153774254052,0,0,2.19465995919626,0,2.12664364345093,4.44279654849785,0,0,3.63938476725441
"Fcer1a",2.71725597013383,2.87363878981213,5.19826962713627,2.8602041518545,11.6386621658597,2.95121602057716,5.91211415813842,0,0,6.00083943319059
"Fcer2a",3.60317129921064,0,0,2.19465995919626,5.01122725542325,0,2.22468455100688,0,3.47261905086962,1.95059140673861
"Fcgr4",3.22717304417762,2.87363878981213,4.23703919730085,4.43111818252987,0,1.4241167931897,5.56883451484879,5.41503749927884,3.47261905086962,5.36157935049781
