"","B cell","Dendritic cell","Macrophage","NK cell","T cell","Basophil","Monocyte","Neutrophil"
"Ms4a2",1.07744036461227,0,0,0,0,5.71633059328279,0,4.10863771681645
"Ms4a4b",8.65171298268711,8.17109692820984,8.41899036623789,11.7390041141962,9.57470683561774,3.9379702621365,5.8137457654895,6.28397874066005
"Mzb1",7.35941957127485,4.78637391257406,6.01104972573117,5.00293149550384,5.15138760652387,2.75074777180255,2.70594736231395,4.86636471871583
"Ncr1",3.2497810472622,4.08384706231283,3.15971118858031,6.1700435612518,2.94208970753022,0,0,2.08755478243132
"Nkg7",8.69487143127471,8.36975974792695,8.08130377824035,11.3967472628577,8.95658445668633,7.95080862346928,6.80086415646931,8.09243647966976
"Nudt17",3.55247427948636,8.8737058852611,4.07664595803119,3.98120415385978,3.63466445049086,0,2.70594736231395,1.05895620969413
"Olr1",1.07744036461227,0,0,0,0.354510309590756,5.25736082416071,0,4.27933768169201
"Padi4",0,0,4.07664595803119,1.30992699741717,1.08011604159241,6.57827265487946,5.09377866262286,7.40951045853045
"Prf1",4.31287623909276,4.47745687525317,5.03324818238657,6.9167451566736,4.71963192158144,0,0,3.10164424924247
"Prg3",1.31056401187879,4.78637391257406,3.15971118858031,0,1.25867428731541,3.9379702621365,3.59092816755755,5.1997893030117
"Prss57",0,0,0,1.30992699741717,0.638864439020138,7.05316736574822,5.09377866262286,6.44513369555497
"Rab44",0.45427722054489,0,0,0,1.25867428731541,7.08396310996745,5.9489157173668,6.42708239789802
"Rasgrp4",2.53884875044351,4.78637391257406,7.31949292420592,3.30388880308041,2.37247102109643,7.40985287474539,6.87063719610169,7.6657516439496
"Retnlg",4.01559972567176,3.54080817111492,4.07664595803119,4.6246062205262,4.02859870078489,3.26243143449706,7.56106109761186,13.3954869937111
"Rgs18",2.44391284697347,4.78637391257406,6.70285979426325,2.44304161500685,1.69082481718342,6.23837736292839,5.31012316009295,5.75723017392189
"Sh2d1a",5.08485361924166,4.78637391257406,4.63282213949975,8.50551796637908,6.30875731467486,0,0,2.08755478243132
"Sh2d2a",6.40959193333119,6.23779476325755,6.17848701494574,9.32537864358981,7.082579017218,0,2.70594736231395,3.18993161311906
"Siglecf",0.45427722054489,0,0,1.30992699741717,0,3.26243143449706,3.59092816755755,4.27933768169201
"Skint3",0.799246864327337,0,4.63282213949975,1.30992699741717,0.638864439020138,0,2.70594736231395,2.08755478243132
"Slamf8",4.97029645537765,6.5961104370669,8.63599156927595,4.93479005066392,4.37692647760039,1.95059140673861,4.13541876945631,1.39239185180557
"Spib",6.16366736515547,6.5145252100963,0,3.50525955991319,3.56845898072728,4.18523043637647,5.09377866262286,5.01878036512903
"Tal1",0,2.65973026912313,0,0,0,1.95059140673861,0,2.55468861736944
"Tarm1",3.682919233083,6.13234931999275,0,3.83931561769774,3.49906859087465,2.75074777180255,0,5.48795758431752
"Tcf7",4.76960418948891,4.78637391257406,5.03324818238657,7.40632452624815,6.75440369476495,1.95059140673861,0,3.9658968198644
"Tgtp2",7.19788418605741,7.58863490444622,9.40003229703406,7.53847020671288,7.49940176910316,0,3.59092816755755,3.00759981585816
"Themis",3.87711210561226,3.54080817111492,0,6.82560802035308,4.62508810803206,1.95059140673861,0,2.08755478243132
"Tlr13",1.07744036461227,0,5.60344972809904,1.30992699741717,1.25867428731541,0,6.07249906871707,5.50526750139022
"Tlr5",0.799246864327337,0,4.07664595803119,0,0.354510309590756,0,0,0
"Tnfrsf13c",6.07140281456319,4.78637391257406,4.07664595803119,4.44029175296636,4.12387642712082,0,2.70594736231395,3.80746656415794
"Tnfrsf18",4.93582263904223,6.01858493300885,4.63282213949975,7.94580742098106,5.90145519308572,4.74351311626598,0,4.15324323112606
"Tnip3",2.53884875044351,6.13234931999275,6.01104972573117,3.06977943777837,2.65362852157003,0,0,1.39239185180557
"Tpsb2",4.82716461662816,5.0406686297714,4.63282213949975,3.83931561769774,4.74981808485663,0,0,0
"Tpsg1",0.799246864327337,2.65973026912313,0,0,0.876294621185,0,0,0
"Trac",8.34355970988507,7.90906323327786,8.38514338989102,10.7897217285429,9.28310125392664,0,0,5.24170303842025
"Xlr4b",4.22994307737688,4.78637391257406,4.63282213949975,6.6240005006021,4.05301449829059,1.95059140673861,4.13541876945631,2.41513518658909
"Zap70",4.98722929266439,4.47745687525317,5.60344972809904,8.06216591745866,6.14804809869017,1.95059140673861,0,3.00759981585816
"A530030E21Rik",2.71181278771157,0,0,1.30992699741717,2.29269973364891,0,0,1.05895620969413
"A930002I21Rik",0,0,0,1.30992699741717,1.08011604159241,0,0,0
"Arhgef37",0,0,0,0,0.354510309590756,0,0,0
"Camp",4.62563044020669,4.47745687525317,3.15971118858031,3.98120415385978,4.54127461164599,15.7731649689011,4.52978644096093,14.0467895276885
"Cd40lg",1.84425450486913,2.65973026912313,0,5.13025830516253,2.77601598577303,0,0,0.624533108880708
"Cebpe",0.45427722054489,0,3.15971118858031,0,0.354510309590756,10.1602073492987,6.56868050176304,8.44840829877849
"Gfi1b",0.45427722054489,0,0,0,0,1.95059140673861,3.59092816755755,1.39239185180557
"Gm16194",0.45427722054489,0,0,0,0,2.75074777180255,0,0.624533108880708
"Gm43291",3.40905168986167,2.65973026912313,0,1.30992699741717,0.638864439020138,2.75074777180255,0,2.55468861736944
"Ngp",4.22994307737688,4.08384706231283,0,3.30388880308041,4.25594250650771,16.1022744962907,3.59092816755755,14.665467709283
"Pax5",5.31687355573875,3.54080817111492,4.63282213949975,3.30388880308041,3.63466445049086,0,3.59092816755755,3.62946713452515
"Prg2",4.08015772176413,0,3.15971118858031,2.44304161500685,1.92048970694434,5.86558705198419,5.31012316009295,9.33820641737111
"Ccr6",3.19252827471674,0,0,3.06977943777837,1.92048970694434,0,0,0.624533108880708
"Clec4a4",0,3.54080817111492,3.15971118858031,0,0,0,2.70594736231395,1.05895620969413
"Gzmk",3.40905168986167,4.08384706231283,3.15971118858031,7.3019966728397,3.75860368329424,0,0,0
"Tmigd3",0,0,3.15971118858031,0,0.638864439020138,0,0,1.05895620969413
"4930430E12Rik",0.45427722054489,0,3.15971118858031,1.30992699741717,0.354510309590756,0,0,0
"Fer1l5",0,0,0,0,0.354510309590756,0,0,0
"Tph1",1.5112054484713,0,4.07664595803119,1.30992699741717,1.81022253389597,0,0,0
