"","B cell","Dendritic cell","Macrophage","Monocyte","Neutrophil","NK cell","T cell","Basophil"
"Cd5",3.1566646089935,3.52685954615759,0,4.77166321491429,5.6724253419715,0,6.46925234961446,0
"Cd6",4.43201777971662,5.02586808577068,0,5.74501082272223,0,4.66620234868133,6.76575632611499,0
"Cd7",5.69133876230974,9.62657362415986,4.53743413063857,7.31192752807004,5.6724253419715,9.36530887967145,7.39331239289428,5.02319433556088
"Cd79a",11.5169472981472,9.39806858895868,9.33414911307826,10.3039609536576,9.96722625883599,9.56433541028508,9.11960535009039,5.14502337300783
"Cd79b",10.786790220272,9.09900168265966,8.86933679289874,9.24380034350575,10.2888660741658,8.93311487243887,9.13351960255594,4.74351311626598
"Cd83",7.63619979191732,8.15588341834244,7.93925270191296,5.74501082272223,5.6724253419715,6.62294463156538,5.2755974575454,0
"Cd8a",6.04274899606984,7.40446934803409,4.53743413063857,5.74501082272223,5.6724253419715,6.94194223439128,8.44587935467434,0
"Cd8b1",7.49769857734925,6.99226754053634,6.49007089098767,6.73149768188789,5.6724253419715,6.79124231680626,9.51463165353365,2.75074777180255
"Clec2g",0,0,0,0,0,0,0,0
"Clec4a3",3.49735091790261,3.52685954615759,9.56330221640925,9.30510173261615,0,3.72193277920873,1.23125353197806,1.95059140673861
"Clec4e",3.0225259657015,3.52685954615759,4.53743413063857,4.77166321491429,7.65105169117893,0,1.23125353197806,6.1825579883989
"Clec5a",0.84138194547934,0,0,0,6.65821148275179,0,0,7.40985287474539
"Cma1",2.05903075570522,3.52685954615759,0,0,0,6.94194223439128,2.67600457086121,0
"Ctsw",6.35332496769278,5.74501082272223,5.50603203149944,5.74501082272223,6.65821148275179,9.65441772613209,8.08687656294651,0
"Cxcl2",0,0,0,0,0,0,0,3.63938476725441
"Cxcr2",0.84138194547934,0,0,4.77166321491429,7.97154355395077,0,2.95206223858638,6.34392699889581
"Cxcr6",3.8539972270875,3.52685954615759,0,0,0,4.66620234868133,6.65435617183163,0
"Dpep2",1.75501441617638,0,6.08037341646402,0,0,0,1.23125353197806,0
"Ear1",0,0,4.53743413063857,0,0,0,0,1.95059140673861
