"","B cell","Dendritic cell","Eosinophils","Macrophage","Monocyte","Neutrophil","NK cell","T cell","Basophil"
"Cd3d",6.23820974100879,5.52222755693356,4.40612983121254,4.70391224434677,0,5.98278060807398,7.345863347369,9.16095187237319,3.26243143449706
"Cd3e",3.48595249489,2.21574086441302,0,2.37214681602811,0,4.13729943136647,4.80457545949009,6.62062449185828,0
"Cd3g",5.35035291262942,4.9716203753308,5.37169965455517,4.60832508200333,0,4.44273705740796,6.55173703845714,8.72477959175413,3.9379702621365
"Cd4",3.02553509210714,1.14735022561751,0,3.75823156522691,0,0,0,5.37797105182136,0
"Cd40",5.15760472980644,4.66114169391937,3.47261905086962,3.09064971031933,0,2.3643980639004,2.8048845532333,0,0
"Cd5",1.60445867634695,1.77826479302807,3.47261905086962,1.41729559183702,0,0,0,5.81236486472699,0
"Cd6",3.61170234867358,1.77826479302807,3.47261905086962,2.1182559067244,0,3.21703759728043,3.69777914561962,6.04297400403472,0
"Cd7",3.61170234867358,6.25425659708397,0,3.5680910454078,8.09659537408738,3.21703759728043,7.92786665435049,6.97727992349992,5.02319433556088
"Cd79a",10.2970800284932,6.73756257634335,8.04235028953399,6.37280143266801,0,7.61486254742313,6.9858248976671,5.81236486472699,5.14502337300783
"Cd79b",9.88865007261115,6.68741926786486,7.73553038260945,6.38727235091749,6.52213566326572,7.81420681990846,7.05242162146722,6.07806414324809,4.74351311626598
"Cd83",8.53289259413538,10.5060297545642,6.93324357104742,9.15462144812531,6.52213566326572,6.82060270807037,6.87978499307981,6.11232102486625,0
"Cd8a",4.02734184881277,3.24875762920782,3.47261905086962,2.1182559067244,0,4.13729943136647,5.52074217203167,7.56461967714354,0
"Cd8b1",4.78296478883306,3.5771993633369,6.35417145108548,3.92620556655342,0,4.90908389925116,6.18698157569699,8.88692381145681,2.75074777180255
"Clec2g",1.0146467759644,0,0,0.876111717479774,0,0,0,0,0
"Clec4a3",4.2755544329059,7.02011416034296,3.47261905086962,8.15503799920183,7.51426574766806,5.40917963996613,4.95140687595081,3.18854067960966,1.95059140673861
"Clec4e",5.15760472980644,6.67030991514266,9.196869091646,7.04615527873157,6.52213566326572,9.87461154028722,5.77852966567556,5.13302541863078,6.1825579883989
"Clec5a",1.60445867634695,3.5771993633369,0,4.5059524645293,6.52213566326572,4.44273705740796,0,2.08636028480318,7.40985287474539
"Cma1",3.83443880126023,3.71706421071601,4.40612983121254,2.94174018813365,0,4.69467216012425,7.96291331764313,3.42495697847637,0
"Ctsw",5.80998134739774,5.59656566733074,6.93324357104742,4.79355781427813,6.52213566326572,5.88487349892063,8.97726278273845,7.69466315370329,0
"Cxcl2",5.6724253419715,7.95926958167162,11.5848249265713,10.2376272974604,7.51426574766806,12.1630402195389,5.69761269681172,4.56847437793259,3.63938476725441
"Cxcl3",0,1.14735022561751,3.47261905086962,3.75823156522691,0,4.13729943136647,0,1.39142494205689,0
"Cxcr2",0,1.77826479302807,4.40612983121254,2.37214681602811,0,6.71059211158219,1.99783865871053,0,6.34392699889581
"Cxcr6",2.34529208795287,2.8227982830132,0,2.1182559067244,0,2.3643980639004,5.08466519463548,6.07806414324809,0
"Dpep2",3.61170234867358,6.34330851264727,3.47261905086962,7.22597952242593,0,3.74933396908788,2.8048845532333,3.62803122261305,0
"Ear1",4.78296478883306,4.72881320119351,5.68664200254895,9.337133754716,0,5.09571435956705,4.95140687595081,4.23703919730085,1.95059140673861
"Ear2",6.67271396756831,8.39905789398385,6.93324357104742,10.7540370138292,0,6.1606664983266,6.40654237297089,5.72650570079365,6.77981811141087
"F630040K05Rik",0,1.77826479302807,0,0,0,0,0,0,0
"F730016J06Rik",0,0,0,0,0,0,0,0,3.63938476725441
"Fcer1a",0,0,0,0.876111717479774,0,4.90908389925116,3.31933409651236,0,6.00083943319059
"Fcer2a",7.14787982142736,3.0514418805393,5.68664200254895,3.66629149572924,0,4.44273705740796,3.31933409651236,3.96443464001628,1.95059140673861
"Fcgr4",2.83237338209444,5.22697104520147,5.37169965455517,6.15330757304153,0,5.09571435956705,1.99783865871053,2.08636028480318,5.36157935049781
"Fcmr",8.79726449024694,5.66726031053141,7.25280876313845,5.20645338842152,0,6.39210361099017,5.8551482338416,5.13302541863078,3.63938476725441
"Fcrl1",6.48825004179491,3.42230494918659,4.40612983121254,2.58797250607109,0,5.40917963996613,2.8048845532333,3.42495697847637,2.75074777180255
"G430095P16Rik",0,3.96169758573311,3.47261905086962,4.27644318050277,0,3.74933396908788,2.8048845532333,1.39142494205689,1.95059140673861
