"","Cd4","Cd8a","Foxp3","Cd14","Cd19"
"GSM1423289",5.01349035882416,5.86123725151609,4.68517109383473,9.92503448065654,4.74310907411564
"GSM1423291",4.99588447236387,6.41005333373901,4.85779056495127,9.49547919660457,4.73607642558609
"GSM1423293",5.02979017534532,5.94922865075314,4.76063933279796,9.62080892382962,4.70755852177158
"GSM1423295",5.00512939415762,5.70919146227756,4.72336217242884,9.71380135708027,4.60841051281605
"GSM1423297",4.92477749042291,5.54425425420648,4.91995387765879,9.36149244346405,4.74836574826562
"GSM1423301",5.0783824069823,6.71128462184725,4.57511575715385,11.097712015342,4.76633582073573
"GSM1423303",5.03772530496207,6.04330834577504,4.76371018970996,10.2315786078679,4.97130196467852
"GSM1423305",5.02405139740852,6.1362901631552,4.69879578434109,9.88836255561827,4.814943979498
"GSM1423307",5.06244693571658,5.59194045615265,4.68913026072071,9.67221118221712,4.89719051900379
"GSM1423311",4.87880092237367,6.37950428357004,4.81800214400261,9.91325619029802,5.00468969264429
"GSM1423316",5.03508002625497,6.71624628366479,4.68429097282822,9.93688146876397,5.05007656574905
"GSM2389949",8.29431098631026,5.18695971932243,5.98948404708421,6.17613333171226,5.8874918852054
"GSM2389950",6.85578665077532,5.28510308839516,5.63703121140639,8.09612463137207,4.42488607458315
"GSM2389951",8.13110002651061,6.06158427170407,5.75324208768003,7.47027509150624,5.1329472897823
"GSM2389952",7.6239975753836,7.13554775367583,5.95449646614261,6.56457997809051,5.17487765597476
"GSM2389953",6.86684657925964,8.48591822703495,8.18236750514774,7.74978572641324,9.56593121859744
"GSM2389954",7.93259628656734,6.07313735999757,5.9181096834447,8.32167723204387,5.17890076801524
"GSM2389956",7.767604349636,7.36114792350995,6.59027773852219,6.92473733811547,5.87650789950712
"GSM2389958",8.90299459941995,6.98693351493637,6.96618990967035,7.75798895786178,5.49028098777396
"GSM2389938",11.3462677967946,11.0768554406121,9.18629443796287,6.89953668802428,7.17578246219563
"GSM2389939",11.606290150974,9.8256683076054,11.4226083672168,8.41739659303803,5.00204337959932
"GSM2389940",11.1714677494948,11.3675647039055,7.61408469722551,5.80978907952056,7.61188785400698
"GSM2389941",11.9911271524381,10.2723395850975,8.69967582303512,6.74116132014704,6.8768929975505
"GSM2389942",11.5670708201045,11.7487192130242,9.78077005482904,6.53252917042637,7.12372592691219
"GSM2389943",9.78689809973577,11.9335528716844,8.22221741192787,7.25935547709677,6.34825438805211
"GSM2389944",11.3410346368996,10.7010998162147,11.3568579882726,6.906081868914,5.72385321178041
"GSM2389945",11.5799919633647,11.3783424217384,10.0971535947264,7.46331136137041,6.67648188997011
"GSM2389946",11.1849767773491,11.6822361091771,10.4590515539605,6.51726495444384,5.45832750702643
"GSM2389947",11.0810053249825,12.3253388451739,7.86227362790294,5.58023961498314,6.88140956566445
"GSM2389948",11.2173042621463,11.4454211119963,8.97304813418461,7.21047679438139,5.91236533018465
