"","B cell","Dendritic cell","Macrophage","NK cell","T cell","Basophil","Monocyte","Neutrophil"
"Ly6g",0,0,0,0,0,676.21776504298,116.022099447514,919.284940411701
"Lyz1",17.6,280.777537796976,1665.41353383459,0,15.35974130962,20.0573065902579,16.5745856353591,18.9599133261105
"Mcemp1",1.6,84.2332613390929,101.503759398496,0,2.02101859337106,736.389684813754,337.016574585635,771.939328277356
"Mfsd7a",0,0,11.2781954887218,0,0,0,33.1491712707182,1.08342361863489
"Mmp25",0,28.0777537796976,3.7593984962406,0,0,25.7879656160458,0,52.0043336944745
"Ms4a2",0.8,0,0,0,0,51.5759312320917,0,16.2513542795233
"Ms4a4b",334.4,172.786177105832,109.022556390977,1895.16129032258,1111.15602263541,14.3266475644699,55.2486187845304,76.9230769230769
"Mzb1",257.6,36.7170626349892,7.5187969924812,0,10.5092966855295,5.73065902578797,5.52486187845304,28.169014084507
"Ncr1",0,4.31965442764579,0,443.548387096774,2.02101859337106,0,0,3.25027085590466
"Nkg7",176.8,127.429805615551,131.578947368421,2540.32258064516,710.590137429264,246.418338108883,110.497237569061,271.939328277356
"Nudt17",7.2,805.615550755939,26.3157894736842,8.06451612903226,4.04203718674212,0,5.52486187845304,1.08342361863489
"Olr1",0,0,0,0,0,37.2492836676218,0,18.4182015167931
"Padi4",0,0,7.5187969924812,0,0.404203718674212,94.5558739255014,33.1491712707182,169.014084507042
"Prf1",12.8,12.9589632829374,7.5187969924812,314.516129032258,36.3783346806791,0,0,7.5839653304442
"Prg3",1.6,4.31965442764579,3.7593984962406,0,0.404203718674212,14.3266475644699,11.0497237569061,35.7529794149512
"Prss57",0,2.15982721382289,0,0,0.404203718674212,131.805157593123,33.1491712707182,86.1321776814735
"Rab44",0,0,3.7593984962406,0,0,134.670487106017,60.7734806629834,85.0487540628386
"Rasgrp4",4.8,34.5572354211663,105.263157894737,0,2.02101859337106,169.054441260745,116.022099447514,202.058504875406
"Retnlg",0.8,2.15982721382289,7.5187969924812,0,0.808407437348424,8.59598853868195,187.845303867403,10774.6478873239
"Rgs18",4,15.1187904967603,56.390977443609,0,0,74.4985673352435,38.6740331491713,53.0877573131094
"Sh2d1a",8.8,4.31965442764579,7.5187969924812,80.6451612903226,74.373484236055,0,0,3.25027085590466
"Sh2d2a",63.2,19.438444924406,30.0751879699248,298.387096774194,143.896523848019,0,5.52486187845304,8.12567713976165
"Siglecf",0,0,3.7593984962406,0,0,8.59598853868195,11.0497237569061,18.4182015167931
"Skint3",0,8.63930885529158,41.3533834586466,0,0,0,5.52486187845304,3.25027085590466
"Slamf8",0.8,58.3153347732181,105.263157894737,0,1.21261115602264,2.86532951289398,16.5745856353591,1.62513542795233
"Spib",201.6,125.269978401728,18.796992481203,8.06451612903226,9.70088924818108,17.1919770773639,33.1491712707182,31.4192849404117
"Tal1",0,0,0,0,0,2.86532951289398,0,4.87540628385699
"Tarm1",0,10.7991360691145,0,0,0,5.73065902578797,0,43.8786565547129
"Tcf7",52,47.5161987041037,15.0375939849624,40.3225806451613,229.183508488278,2.86532951289398,0,14.626218851571
"Tgtp2",36,19.438444924406,37.593984962406,8.06451612903226,52.5464834276475,0,11.0497237569061,7.04225352112676
