"","B cell","Dendritic cell","Macrophage","Monocyte","Neutrophil","NK cell","Basophil","T cell"
"Gm13986",0,0,0,0,0,0,5.73065902578797,0
"Gm20324",0,12.6582278481013,3.8572806171649,10.4166666666667,0,0,2.86532951289398,27.299703264095
"Gm8113",0,0,1.92864030858245,3.47222222222222,0,0,0,0
"Gm9733",0,0,9.64320154291225,59.0277777777778,0,0,20.0573065902579,1.78041543026706
"Gzma",27.7777777777778,29.535864978903,4.82160077145612,13.8888888888889,0,30.3030303030303,5.73065902578797,172.700296735905
"Gzmb",0,0,2.89296046287367,3.47222222222222,62.5,1030.30303030303,0,10.0890207715134
"H2-Eb2",83.3333333333333,8.43881856540084,0,0,0,0,0,3.56083086053412
"I830127L07Rik",55.5555555555556,25.3164556962025,141.75506268081,638.888888888889,562.5,15.1515151515152,1888.25214899713,36.7952522255193
"Ifi205",0,50.6329113924051,50.1446480231437,97.2222222222222,0,15.1515151515152,0,3.56083086053412
"Ifitm6",138.888888888889,793.248945147679,256.509161041466,781.25,625,166.666666666667,1753.58166189112,73.5905044510386
"Il4",0,0,0,0,0,0,8.59598853868195,0
"Il9r",27.7777777777778,0,0,0,0,0,0,1.18694362017804
"Itga2b",0,0,5.78592092574735,3.47222222222222,0,0,14.3266475644699,1.18694362017804
"Itgam",0,25.3164556962025,199.614271938284,83.3333333333333,187.5,30.3030303030303,412.607449856734,8.30860534124629
"Itgax",0,59.0717299578059,77.145612343298,31.25,62.5,0,2.86532951289398,5.93471810089021
"Izumo1r",27.7777777777778,0,0,0,0,0,2.86532951289398,27.893175074184
"Klra13-ps",0,0,0,0,0,15.1515151515152,0,65.2818991097923
"Klra7",0,0,0,0,0,90.9090909090909,0,27.893175074184
"Klra8",0,0,0.964320154291225,0,0,106.060606060606,0,18.9910979228487
"Klrc1",0,4.21940928270042,0,0,0,0,2.86532951289398,16.0237388724036
"Klrd1",55.5555555555556,232.067510548523,4.82160077145612,13.8888888888889,0,227.272727272727,0,248.071216617211
"Klre1",0,8.43881856540084,1.92864030858245,0,0,45.4545454545455,0,13.6498516320475
"Klrg1",27.7777777777778,4.21940928270042,1.92864030858245,0,0,1303.0303030303,0,20.1780415430267
"Klri2",0,4.21940928270042,0,0,0,0,0,5.93471810089021
"Klrk1",0,130.801687763713,11.5718418514947,31.25,0,15.1515151515152,0,24.3323442136499
"Lck",0,0,3.8572806171649,0,0,15.1515151515152,11.4613180515759,645.103857566766
"Ly6g",0,0,0,3.47222222222222,125,0,676.21776504298,1.78041543026706
"Lyz1",0,4.21940928270042,29.893924783028,27.7777777777778,0,0,20.0573065902579,1.18694362017804
"Mcemp1",0,92.8270042194093,140.790742526519,118.055555555556,375,45.4545454545455,736.389684813754,42.1364985163205
"Mfsd7a",0,4.21940928270042,7.7145612343298,0,0,0,0,0.593471810089021
"Mmp25",0,4.21940928270042,0.964320154291225,0,0,0,25.7879656160458,0
"Ms4a2",0,0,0.964320154291225,3.47222222222222,0,0,51.5759312320917,0.593471810089021
"Ms4a4b",0,54.8523206751055,14.4648023143684,45.1388888888889,0,0,14.3266475644699,1445.69732937685
"Mzb1",444.444444444444,4.21940928270042,2.89296046287367,0,0,0,5.73065902578797,23.7388724035608
"Ncr1",0,4.21940928270042,0,0,0,0,0,16.0237388724036
"Nkg7",0,29.535864978903,2.89296046287367,10.4166666666667,125,257.575757575758,246.418338108883,737.685459940653
"Nudt17",0,29.535864978903,2.89296046287367,3.47222222222222,0,0,0,0.593471810089021
"Olr1",0,4.21940928270042,27.0009643201543,3.47222222222222,0,0,37.2492836676218,0
"Padi4",0,0,3.8572806171649,3.47222222222222,0,0,94.5558739255014,2.37388724035608
"Prf1",0,16.8776371308017,10.6075216972035,24.3055555555556,0,2939.39393939394,0,37.9821958456973
"Prg3",0,0,0,0,0,0,14.3266475644699,0
"Prss57",0,4.21940928270042,0,0,0,0,131.805157593123,0.593471810089021
"Rab44",0,12.6582278481013,1.92864030858245,0,62.5,0,134.670487106017,2.37388724035608
"Rasgrp4",0,63.2911392405063,26.0366441658631,65.9722222222222,187.5,30.3030303030303,169.054441260745,24.3323442136499
"Retnlg",27.7777777777778,42.1940928270042,40.5014464802314,62.5,2875,0,8.59598853868195,102.077151335312
"Rgs18",0,8.43881856540084,9.64320154291225,3.47222222222222,187.5,15.1515151515152,74.4985673352435,1.78041543026706
"Sh2d1a",0,4.21940928270042,0,0,0,30.3030303030303,0,59.9406528189911
"Sh2d2a",83.3333333333333,0,0.964320154291225,6.94444444444444,0,227.272727272727,0,69.4362017804154
"Siglecf",0,4.21940928270042,2.89296046287367,0,0,0,8.59598853868195,1.18694362017804
"Skint3",0,16.8776371308017,4.82160077145612,27.7777777777778,0,0,0,1.78041543026706
"Slamf8",0,67.5105485232068,43.3944069431051,121.527777777778,0,0,2.86532951289398,1.18694362017804
"Spib",83.3333333333333,33.7552742616034,3.8572806171649,3.47222222222222,0,15.1515151515152,17.1919770773639,19.5845697329377
"Tal1",27.7777777777778,0,5.78592092574735,3.47222222222222,62.5,0,2.86532951289398,0.593471810089021
"Tarm1",0,4.21940928270042,21.2150433944069,20.8333333333333,62.5,15.1515151515152,5.73065902578797,2.9673590504451
"Tcf7",0,4.21940928270042,0.964320154291225,0,0,0,2.86532951289398,275.370919881306
"Tgtp2",27.7777777777778,75.9493670886076,21.2150433944069,72.9166666666667,0,15.1515151515152,0,50.4451038575668
"Themis",0,0,0,0,0,0,2.86532951289398,40.9495548961424
"Tlr13",27.7777777777778,8.43881856540084,71.3596914175506,79.8611111111111,0,0,0,3.56083086053412
"Tnfrsf13c",27.7777777777778,12.6582278481013,0,0,0,0,0,11.2759643916914
"Tnfrsf18",27.7777777777778,8.43881856540084,5.78592092574735,0,0,106.060606060606,25.7879656160458,68.2492581602374
"Tnip3",0,42.1940928270042,18.3220829315333,3.47222222222222,0,15.1515151515152,0,1.18694362017804
"Trac",83.3333333333333,16.8776371308017,0.964320154291225,3.47222222222222,0,45.4545454545455,0,528.783382789317
"Xlr4b",55.5555555555556,8.43881856540084,8.67888138862102,3.47222222222222,0,30.3030303030303,2.86532951289398,40.9495548961424
"Zap70",0,0,0.964320154291225,0,0,30.3030303030303,2.86532951289398,96.1424332344214
"9830107B12Rik",0,4.21940928270042,0.964320154291225,0,62.5,0,77.3638968481375,1.18694362017804
"A530030E21Rik",55.5555555555556,0,0,0,0,0,0,3.56083086053412
"A930002I21Rik",0,0,0,0,0,0,0,3.56083086053412
"Arhgef37",0,0,2.89296046287367,13.8888888888889,0,0,0,0.593471810089021
"Camp",0,0,0,0,1250,0,56000,7.12166172106825
"Cd40lg",0,0,0,0,0,0,0,1.78041543026706
"Cebpe",0,0,7.7145612343298,0,0,0,1143.2664756447,2.37388724035608
"Gfi1b",0,0,0,0,0,0,2.86532951289398,0
"Gm13814",0,0,0.964320154291225,0,0,0,0,0
"Gm16194",0,0,0,0,0,0,5.73065902578797,0
