"","B cell","Dendritic cell","Macrophage","Monocyte","Neutrophil","Basophil","NK cell","T cell"
"Ifitm6",172.839506172839,526.315789473684,482.758620689655,488.888888888889,2556.33802816901,1753.58166189112,105.714285714286,73.5905044510386
"Il4",0,0,0,0,0,8.59598853868195,0,0
"Itga2b",0,0,0,0,10.5633802816901,14.3266475644699,0,1.18694362017804
"Itgam",6.17283950617284,210.526315789474,126.436781609195,133.333333333333,345.070422535211,412.607449856734,122.857142857143,8.30860534124629
"Itgax",6.17283950617284,0,0,0,0,2.86532951289398,117.142857142857,5.93471810089021
"Izumo1r",0,0,0,0,0,2.86532951289398,8.57142857142857,27.893175074184
"Klra13-ps",0,0,0,0,0,0,674.285714285714,65.2818991097923
"Klra7",0,0,0,0,0,0,420,27.893175074184
"Klra8",0,0,0,0,0,0,700,18.9910979228487
"Klrc1",0,0,5.74712643678161,0,0,2.86532951289398,137.142857142857,16.0237388724036
"Klrd1",12.3456790123457,210.526315789474,0,0,0,0,817.142857142857,248.071216617211
"Klre1",0,0,0,0,0,0,348.571428571429,13.6498516320475
"Klrg1",6.17283950617284,0,0,0,0,0,425.714285714286,20.1780415430267
"Klri2",0,0,0,0,0,0,171.428571428571,5.93471810089021
"Klrk1",0,52.6315789473684,11.4942528735632,22.2222222222222,0,0,440,24.3323442136499
"Lck",30.8641975308642,0,22.9885057471264,0,7.04225352112676,11.4613180515759,525.714285714286,645.103857566766
"Ly6g",30.8641975308642,0,17.2413793103448,0,661.971830985916,676.21776504298,8.57142857142857,1.78041543026706
"Lyz1",18.5185185185185,1421.05263157895,632.183908045977,22.2222222222222,42.2535211267606,20.0573065902579,0,1.18694362017804
"Mcemp1",49.3827160493827,157.894736842105,241.379310344828,444.444444444444,866.197183098591,736.389684813754,37.1428571428571,42.1364985163205
"Mfsd7a",0,0,17.2413793103448,44.4444444444444,7.04225352112676,0,0,0.593471810089021
"Mmp25",0,0,0,0,49.2957746478873,25.7879656160458,0,0
"Ms4a2",0,0,5.74712643678161,0,14.0845070422535,51.5759312320917,0,0.593471810089021
"Ms4a4b",18.5185185185185,0,40.2298850574713,155.555555555556,7.04225352112676,14.3266475644699,1734.28571428571,1445.69732937685
"Mzb1",703.703703703704,0,5.74712643678161,0,7.04225352112676,5.73065902578797,51.4285714285714,23.7388724035608
"Ncr1",0,0,0,0,0,0,645.714285714286,16.0237388724036
"Nkg7",185.185185185185,105.263157894737,2051.72413793103,22.2222222222222,278.169014084507,246.418338108883,3260,737.685459940653
"Nudt17",0,0,11.4942528735632,22.2222222222222,0,0,0,0.593471810089021
"Olr1",0,0,28.735632183908,22.2222222222222,17.6056338028169,37.2492836676218,0,0
"Padi4",12.3456790123457,0,22.9885057471264,44.4444444444444,172.535211267606,94.5558739255014,8.57142857142857,2.37388724035608
"Prf1",0,0,0,0,0,0,491.428571428571,37.9821958456973
"Prg3",12.3456790123457,0,11.4942528735632,0,56.3380281690141,14.3266475644699,0,0
"Prss57",43.2098765432099,0,614.942528735632,0,123.239436619718,131.805157593123,0,0.593471810089021
"Rab44",6.17283950617284,0,120.689655172414,22.2222222222222,91.5492957746479,134.670487106017,5.71428571428571,2.37388724035608
"Rasgrp4",18.5185185185185,0,68.9655172413793,22.2222222222222,151.408450704225,169.054441260745,22.8571428571429,24.3323442136499
"Retnlg",37.037037037037,0,22.9885057471264,0,13447.1830985915,8.59598853868195,245.714285714286,102.077151335312
"Rgs18",37.037037037037,52.6315789473684,91.9540229885057,111.111111111111,98.5915492957746,74.4985673352435,5.71428571428571,1.78041543026706
"Sh2d1a",0,0,0,0,0,0,105.714285714286,59.9406528189911
"Sh2d2a",12.3456790123457,0,0,0,0,0,194.285714285714,69.4362017804154
"Siglecf",0,0,17.2413793103448,0,21.1267605633803,8.59598853868195,0,1.18694362017804
"Skint3",0,52.6315789473684,28.735632183908,0,3.52112676056338,0,8.57142857142857,1.78041543026706
"Slamf8",0,0,11.4942528735632,0,0,2.86532951289398,11.4285714285714,1.18694362017804
"Spib",444.444444444444,315.789473684211,22.9885057471264,22.2222222222222,10.5633802816901,17.1919770773639,54.2857142857143,19.5845697329377
"Tal1",18.5185185185185,0,11.4942528735632,0,3.52112676056338,2.86532951289398,0,0.593471810089021
"Tarm1",0,0,0,0,42.2535211267606,5.73065902578797,0,2.9673590504451
"Tcf7",0,0,0,0,0,2.86532951289398,80,275.370919881306
"Tgtp2",6.17283950617284,52.6315789473684,17.2413793103448,0,0,0,22.8571428571429,50.4451038575668
"Themis",0,0,0,0,3.52112676056338,2.86532951289398,11.4285714285714,40.9495548961424
"Tlr13",0,0,34.4827586206897,44.4444444444444,17.6056338028169,0,5.71428571428571,3.56083086053412
"Tlr5",0,0,0,0,3.52112676056338,0,0,0
"Tnfrsf13c",49.3827160493827,0,0,0,3.52112676056338,0,28.5714285714286,11.2759643916914
"Tnfrsf18",12.3456790123457,52.6315789473684,5.74712643678161,22.2222222222222,17.6056338028169,25.7879656160458,80,68.2492581602374
"Trac",0,0,0,0,0,0,100,528.783382789317
"Xlr4b",18.5185185185185,0,5.74712643678161,0,0,2.86532951289398,5.71428571428571,40.9495548961424
