GSMID,tissue1,tissue2,tissue3,Tissue,disease1,disease2,disease3,Disease,Genotype
GSM69264,Lung,Lung,,Lung,Control,Control,,Control,Genotype unknown
GSM69265,Lung,Lung,,Lung,Control,Control,,Control,Genotype unknown
GSM76963,Lung,Lung,,Lung,Control,Control,,Control,Wild type
GSM76964,Lung,Lung,,Lung,Control,Control,,Control,Wild type
GSM76965,Lung,Lung,,Lung,Control,Control,,Control,Wild type
GSM596163,Skin,Skin,,Skin,Control,Control,,Control,Genotype unknown
GSM596164,Skin,Skin,,Skin,Control,Control,,Control,Genotype unknown
GSM596165,Skin,Skin,,Skin,Control,Control,,Control,Genotype unknown
GSM513472,Spleen,Spleen,,Spleen,Control,Control,,Control,Genotype unknown
GSM513474,Spleen,Spleen,,Spleen,Control,Control,,Control,Genotype unknown
GSM513476,Spleen,Spleen,,Spleen,Control,Control,,Control,Genotype unknown
GSM513478,Spleen,Spleen,,Spleen,Control,Control,,Control,Genotype unknown
GSM513480,Spleen,Spleen,,Spleen,Control,Control,,Control,Genotype unknown
GSM513482,Spleen,Spleen,,Spleen,Control,Control,,Control,Genotype unknown
GSM513484,Spleen,Spleen,,Spleen,Control,Control,,Control,Genotype unknown
GSM513486,Spleen,Spleen,,Spleen,Control,Control,,Control,Genotype unknown
GSM513488,Spleen,Spleen,,Spleen,Control,Control,,Control,Genotype unknown
GSM513490,Spleen,Spleen,,Spleen,Control,Control,,Control,Genotype unknown
GSM513492,Spleen,Spleen,,Spleen,Control,Control,,Control,Genotype unknown
GSM513494,Spleen,Spleen,,Spleen,Control,Control,,Control,Genotype unknown
GSM513498,Spleen,Spleen,,Spleen,Control,Control,,Control,Genotype unknown
GSM513500,Spleen,Spleen,,Spleen,Control,Control,,Control,Genotype unknown
GSM513502,Spleen,Spleen,,Spleen,Control,Control,,Control,Genotype unknown
GSM513504,Spleen,Spleen,,Spleen,Control,Control,,Control,Genotype unknown
GSM513506,Spleen,Spleen,,Spleen,Control,Control,,Control,Genotype unknown
GSM513508,Spleen,Spleen,,Spleen,Control,Control,,Control,Genotype unknown
GSM513510,Spleen,Spleen,,Spleen,Control,Control,,Control,Genotype unknown
GSM513514,Spleen,Spleen,,Spleen,Control,Control,,Control,Genotype unknown
GSM513516,Spleen,Spleen,,Spleen,Control,Control,,Control,Genotype unknown
GSM513518,Spleen,Spleen,,Spleen,Control,Control,,Control,Genotype unknown
GSM513520,Spleen,Spleen,,Spleen,Control,Control,,Control,Genotype unknown
GSM329263,Spleen,Spleen,,Spleen,Control,Control,,Control,Genotype unknown
GSM329264,Spleen,Spleen,,Spleen,Control,Control,,Control,Genotype unknown
GSM329267,Spleen,Spleen,,Spleen,Control,Control,,Control,Genotype unknown
GSM329268,Spleen,Spleen,,Spleen,Control,Control,,Control,Genotype unknown
GSM329269,Spleen,Spleen,,Spleen,Control,Control,,Control,Genotype unknown
