GSMID,tissue1,tissue2,tissue3,Tissue,disease1,disease2,disease3,Disease,Genotype
GSM129103,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM129104,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM129105,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM129106,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM129107,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM129108,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM129109,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM129110,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM129111,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM129112,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM129113,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM129114,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM129115,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM129116,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM129117,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM129118,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM129119,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM129120,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM129121,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM129122,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM129123,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM129124,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM129125,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM129126,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM129127,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM129128,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM129129,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM129130,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM129131,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM129132,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM129133,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM129134,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM129135,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM1404619,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM1404620,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM1404621,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM1404622,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM1404623,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM1404624,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM1404625,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM1404626,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM1404627,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM1404632,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Notch3 KO
GSM1404633,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Notch3 KO
GSM1404634,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Notch3 KO
GSM1404635,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Notch3 KO
GSM1404636,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Notch3 KO
GSM1404637,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Notch3 KO
GSM1404638,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Notch3 KO
GSM1404639,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Notch3 KO
GSM1404643,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Notch4 KO
GSM1404644,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Notch4 KO
GSM1404645,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Notch4 KO
GSM1404646,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Notch4 KO
GSM1404647,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Notch4 KO
GSM1404648,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Notch4 KO
GSM1404649,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Notch4 KO
GSM1404650,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Notch4 KO
GSM1404651,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Notch4 KO
GSM140866,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1416464,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM1416465,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM1416466,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM1416467,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM1416468,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM1416469,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM1416470,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM1416471,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM1416472,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM1416473,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM1416474,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM1416475,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM1416476,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Nrf2 KO
GSM1416477,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Nrf2 KO
GSM1416478,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Nrf2 KO
GSM1416479,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Nrf2 KO
GSM1416480,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Nrf2 KO
GSM1416481,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Nrf2 KO
GSM1416482,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Nrf2 KO
GSM1416483,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Nrf2 KO
GSM1416484,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Nrf2 KO
GSM1416485,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Nrf2 KO
GSM1416486,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Nrf2 KO
GSM1416487,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Nrf2 KO
GSM142128,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142129,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142130,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142131,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142132,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142133,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142134,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142135,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142136,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142137,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142138,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142139,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142140,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142141,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142142,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142143,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142144,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142145,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142146,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142147,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142148,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142149,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142150,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142151,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142152,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142153,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142154,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142155,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142156,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142157,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142158,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142159,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142160,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142161,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142162,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142163,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142164,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142165,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142166,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142167,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142168,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142169,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142170,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142171,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142172,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142173,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142174,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142175,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142176,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142177,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142178,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142179,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142180,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142181,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142182,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142183,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142184,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142185,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142186,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142187,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142188,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142189,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142190,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142191,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142192,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142193,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142194,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142195,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142196,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM142197,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1464822,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1464823,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1464824,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1464825,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1464826,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1464827,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1464828,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1464829,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1464830,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1579254,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1579255,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1579256,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1579257,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1579258,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1579259,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1579260,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM158132,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM158133,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM158134,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM158135,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM158136,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM158137,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM158138,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM158139,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM158140,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM158141,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM158142,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM158143,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM158144,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM158145,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM158146,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM158147,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1590997,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1590998,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1590999,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1591000,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1591001,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1591002,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM176495,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM176496,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM176497,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM176498,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM176501,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM176503,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM176504,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM180975,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM180976,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM180977,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM180978,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM180979,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM180980,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM180981,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM180982,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM180983,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM180984,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM180985,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM180986,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM180987,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM180988,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM180989,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM180990,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1843553,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1843554,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1843555,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1843556,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1843557,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1843558,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2265772,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2265773,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2265774,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2265775,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2265776,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2265777,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2265778,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2265779,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2265781,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2265782,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2265783,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2265784,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2265785,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2265787,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2265788,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2265789,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2265790,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2265791,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2265792,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2265793,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2265794,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2265795,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2265796,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2265798,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2362923,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2362924,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2362925,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2362926,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2362927,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2362928,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM237302,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM237303,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM237304,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM237305,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM237306,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM237307,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM237308,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM237309,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM238463,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,rhPBEF
GSM238464,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,rhPBEF
GSM238465,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,rhPBEF
GSM238466,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,rhPBEF & VALI
GSM238467,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,rhPBEF & VALI
GSM238468,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,rhPBEF & VALI
GSM240333,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM240334,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM240335,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM240336,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM240337,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM240338,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM240339,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM240340,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM240341,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM240342,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM240343,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM240344,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM252080,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM252081,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM252082,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM3380245,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM3380246,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM3380247,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM3380248,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM3380249,Lung,Lung,,Lung,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
