"","GSM494796","GSM494797","GSM494798","GSM494799","GSM494800","GSM494801","GSM494802"
"Mnt",8.73542240952447,8.98939792266181,9.12496360595304,8.46239950610073,8.28040607263762,8.38210108483717,8.12482561262027
"Mobp",5.34976789325008,5.42646006621223,5.32283155620268,5.40158004497405,5.25931419779071,5.16818054743362,5.04081343532411
"Mocs1",5.50141952012955,6.58484078553957,6.44408459865578,5.87936908003967,5.98325520273713,6.07747286412253,6.06543213501542
"Mocs2",5.26971118807348,5.25570189137918,5.72526891659176,5.53864970947257,6.02503130344025,6.15462771310924,5.07219738287139
"Asip",4.66272997305706,4.75932309550554,4.66756898433762,5.07440297044857,4.74705049800244,4.69879578434109,4.46367002252836
"Mog",3.9329370683231,3.97972150996646,3.93354074217806,4.05999626353809,3.98146938436244,3.98842982451202,3.94496377633728
"Mos",4.41660895461323,4.56933336244428,4.40324866511021,4.34124834702856,4.28067860345239,4.39261428748513,4.20847139194114
"Cd200",5.45138873178888,5.61682048265683,5.44214309177884,5.27106379550316,5.56946439759504,5.4319939660687,5.26428518586992
"Asl",6.96568276758308,6.96213388974778,7.18923693290301,7.04745273576539,6.91213095930272,6.99657635691488,7.24423563798812
"Mpg",7.5888397519891,8.03526392381438,7.8178510075729,7.96826403255581,8.19451817401074,7.55070059588636,8.03221440405059
"Mpi",6.0534096163672,6.03320460589197,6.43135409351099,5.69832206759676,6.23592020071553,6.01926746441348,6.24221133373729
"Mpl",4.69001227811882,4.79480921254342,4.73081997834572,4.85866577656714,4.80837302683885,4.79655935956064,4.73476379525727
"Mpo",4.92828597702634,5.09344276555963,5.12006776642691,5.13205647167664,5.03023094158521,4.94977562074591,4.96426453392556
"Mpp1",9.47683974220881,9.25108180746266,8.92221192334471,8.78728940485154,8.61017379570345,9.05821136795259,9.40915042846877
"Mpp2",6.64818915522506,6.84322862210482,6.50839740920422,6.89248634157647,6.55470679037481,6.59868232837747,6.52218427489284
"Mpp3",6.58285023076238,6.48480315340017,6.43723302515553,6.8894648156906,6.27182343844447,6.55322572911426,6.65165193923998
"Mpst",7.84605549989517,8.21962870763045,8.33850552295291,8.04196974864746,7.91078598423664,8.20607091106651,8.24822148400856
"Mpv17",9.26822590592162,9.21211247068266,9.53990710005337,9.26607428972359,9.12200953797526,9.37183943716826,9.60050190283374
"Mpz",6.31462238767614,6.58384923037814,6.49070095956434,6.63629838039697,6.16912603575345,6.30439092842895,6.28446855663803
"Mre11",5.24126076527608,4.86829539614657,5.35113903873219,5.52467652182554,5.53165988095624,5.7002097394002,5.44907459085159
"Abcc1",8.19644193239787,7.37489821026156,7.65106538472836,8.15503288426723,7.28756245711114,8.00371543286441,8.19067911081409
"Asmt",4.29129144463065,4.18381235853566,4.21247182765306,4.23922160445458,4.30183874318541,4.20847139194114,4.11074956650143
"Klk14",5.57086593855009,5.6544449179956,5.72810769963807,5.598039691441,5.50327559540081,5.77127045862381,5.34564938055609
"Klk12",6.31900958865753,6.33118033291371,6.43282326275231,6.53992385086425,6.35362342470656,6.45242118950171,6.29273141214704
"Asna1",7.73032775590629,7.75572239956759,7.76930299313879,7.54745091598781,7.93022813500164,7.95394266372889,7.9958657623534
"Asns",7.70840952077247,7.47885623945085,8.11106611741957,8.51543768547733,7.63391214518394,8.1874847939973,8.97304813418461
"Tmem41b",7.74159582268613,7.476174883005,7.73707733180105,7.96706532679604,7.74894118996297,7.81153672975103,7.91549832789422
"Iqsec3",6.15511222467394,6.47400295576131,6.19039043806184,6.37706193149257,6.24560166044049,5.81740983230477,6.09914603941674
"Ctrb2",7.06020400079843,7.0561225818379,6.97934915245079,7.25205620713898,6.93331811953468,7.25987870752737,6.77861295728257
"Map1lc3c",5.64785366141477,5.65820103928452,5.64126857094085,5.76984704535861,6.58830077624256,6.02167197852707,5.89560702006257
"Mthfd2l",3.88328187819391,4.06713042717106,3.90159869687266,4.09849879063048,3.94556145229741,3.90097188821313,4.04397067772604
"Tmem151b",5.34107681586284,5.21068964048714,5.29871988074337,5.45971315217124,5.20128841838803,5.37447849617946,5.28374712595031
"Dtx2p1-upk3bp1-pms2p11",9.90825990350526,9.89662238503615,9.5386255945594,9.92334551117617,9.543789844712,9.76712687800724,9.31748262609763
"Or2j3",4.03840579278433,3.98030447795062,3.89469630859745,4.22142573916433,3.80162347646809,3.75583140141389,3.93475065568722
"Or10c1",4.65039052399622,4.68033340234531,4.48993831254695,4.65832410976951,4.58222661527045,4.60087376635617,4.58666901308538
"Aspa",8.57940797132531,8.84135526530333,9.32528539359399,9.46084530911094,8.86083591660654,9.19656581407434,9.57913922657385
"Myo1b",6.68094646888698,5.84741295898624,6.30293124355268,6.55027128733421,6.63975729327588,6.74714617917052,6.37265950030541
"Cited1",6.67846424825798,7.28494155883657,8.15566568386015,7.35428723504377,7.15718916012068,7.21669132703591,8.01216887346233
"Msh2",5.16192292563789,4.74179102530122,5.71108586542658,5.3214653140783,5.37539524907425,5.82692223177223,5.78458571066052
"Msh3",4.33606709980133,4.44135392158275,4.34924401887803,4.30183874318541,4.44865233920454,4.32850667490573,4.36983074959163
"Msh4",3.96863359774191,3.79873102194265,4.02493929507652,4.00794332082867,3.91647696264303,4.01703114013327,3.90097188821313
"Asph",6.20683010904965,6.29564801737373,6.30147690980921,6.07410535200956,6.36534216958158,6.87488440820859,6.5182429616731
"Msi1",4.542978466254,4.48903505991735,4.58044998569165,4.55639808321802,4.67373003386525,4.70712077692436,4.67901367550988
"Ass1",10.0427686331249,10.3392653385445,10.5715686280604,11.299873656275,10.731751439038,10.9406554345821,10.8762615308675
"Msmb",3.61712614251973,3.6227668314128,3.6216456422966,3.65660845450067,3.59339105515774,3.61712614251973,3.66940941165139
"Msn",11.3151229010018,11.0810053249825,11.0645505056737,11.4226083672168,11.2079626842833,11.1580889921096,11.1941223860952
"Msr1",5.01216812141336,4.75800689908586,4.54656083001256,4.39908399888633,4.44363933012982,4.52192111182552,4.93091523628905
"Msra",9.00038417875722,9.19759176770591,9.28993152814758,9.30088248952505,8.84219695291965,9.14481648756816,9.26822590592162
"Mst1",7.96945200333719,7.992857460082,7.70673137133177,8.14430087016538,7.87330817247899,7.9754440165994,7.85588485486607
"Mst1r",5.57602406663851,5.70304802549855,5.43245609850283,5.83025373924321,6.10203901081508,5.39883183941399,5.40848940942626
"Msx1",7.85936869618529,7.78694560013924,7.84548002449092,8.44401318522601,8.25540918654682,7.86343411838359,8.12984500356464
"Msx2",4.01816243626449,4.08452889222113,3.96394090159755,4.0411916682831,4.02549969036086,4.01362753395473,3.91770070883906
"Mt1f",8.71549830265032,8.61622194289602,8.25671365592783,8.13486317570981,8.18812216057513,8.18812216057513,7.94443377281672
"Mt1g",7.31324259528983,7.03165911508382,7.34637123923649,7.39185266432747,6.87840217842799,7.33794499501857,6.72271096973643
"Mt1m",5.55497611597597,6.38633641454852,6.11070839991051,4.74749030453469,5.33696547982524,5.01305253656474,4.73213317881818
"Mt1x",8.32503508636015,10.1339478077663,9.54250182762086,8.54829051802061,10.0281672722151,9.22254775877423,8.78893746337718
"Mt2",12.728248624337,12.4186594342801,12.0960988326678,11.803761474968,11.8535604118918,11.5106866806215,11.7261053795005
"Mt3",5.44122009331963,5.21698425880539,5.44861207619773,5.3584453716059,5.36393895625271,5.21922974725077,5.26292612255356
"Mtap",3.90222301126362,3.88963395645092,3.93776520743775,3.941965859286,4.00737546496768,3.8807207988665,3.99074289684619
"Mtcp1",4.5344725654765,4.26224786771555,4.26273449922043,4.42396478024454,4.13652706127915,4.47228850723594,4.22490575508879
"Mtf1",7.61959310210873,7.7744221770482,7.12577723159465,7.37595672604824,7.28075877714404,7.10986406064703,7.25257718973705
"Nudt1",7.28756245711114,7.75685484301809,7.58009053617552,7.01232537549004,7.5888397519891,7.19337647834073,7.26717707531091
"Mthfd1",8.98939792266181,9.87525469145114,9.65957128455243,9.5092807668588,9.93348006868524,9.8256683076054,9.50550725797808
"Mthfr",4.93530331473661,5.06775751519893,5.12361024818829,4.98930259691439,4.94845809136895,4.98974331742036,4.9875459222451
"Mtif2",8.35410230486043,8.92836974577754,8.81621696957429,8.91170023680054,8.729821516843,8.84219695291965,8.9301397811166
"Mtm1",4.35159486479124,4.35535334219736,4.43998284266303,4.20747186283915,4.31901931782313,4.32234053036287,4.3322846176265
"Myo1f",8.44542397663272,8.53729484718777,7.2021838357752,7.2515359968825,7.22240514121875,7.55124395030441,7.66213639743336
"Mtnr1a",4.4276392194432,4.58444983541981,4.52192111182552,4.3972411347695,4.62479678487951,4.49760502966414,4.51427115289818
"Mtnr1b",4.91339285887546,4.83025269969342,5.23449796866266,4.77070866967889,4.72555529548958,4.94889851945633,4.84948971359024
"Mttp",3.86650584152095,4.02888082663447,3.93051352015741,3.88646512865144,3.89279790643618,4.01192734372855,3.88328187819391
"Mtr",6.53400966204751,6.4514404572742,6.44310664125867,5.88175545740208,6.08999787212527,6.50004680139535,6.08903590694953
"Mtrr",8.03648165572938,7.26091548706465,8.08621717637488,8.11355904074005,8.02672965549448,8.05359705538507,7.79093655124959
"Muc1",5.90519044504158,6.01878742592718,5.87794022902749,6.20634671806285,6.05003267565198,5.91571810371757,5.86409827303332
"Muc2",6.23495319899318,6.23009535403765,6.05051212011641,6.25578898990349,6.22087938848736,6.05389231475527,5.92193116465645
"Muc4",4.05172671319679,4.01362753395473,4.09689290684742,4.2174519439898,4.02324487129531,3.951521657858,4.11286716246181
"Muc6",5.81645625159718,6.03705642210335,5.62198862899394,5.81360422275708,5.95688938042104,5.6027329093107,5.81931431976757
"Muc7",3.58839884548937,3.6780177519378,3.62939869338438,3.72588242560075,3.76824444581478,3.61252523272647,3.76052360389844
"Trim37",9.13685785744997,8.90038726730289,9.36378368989369,9.06487174184491,8.77583177257557,9.01884650121449,9.0169921724863
"Musk",3.77507709910192,3.88646512865144,3.9562629901136,3.91030177711341,3.9286942641245,3.84734067350825,3.81655485428871
"Mut",7.0342064479643,7.68439866096774,8.02672965549448,7.59322655403193,7.52412331969461,7.78067292906944,7.51169618349904
"Mutyh",7.77669547992169,7.61353224221131,7.4879930845002,7.80008220949045,7.8143983099881,7.36220420701329,7.5073821723061
"Mvd",6.30780068659712,6.88241772845482,6.24221133373729,6.49611326183182,6.33216187566046,6.4529107226818,6.48627837001185
"Mvk",8.25018560927379,8.2054296066228,7.96468187606552,8.29564119025925,8.09550397119197,8.11731594452809,7.88789464639488
"Mx1",9.29321279212159,9.38571205038388,8.30229387732625,9.7536038873125,8.96402311328529,8.5712070776086,8.27578355846175
"Astn1",4.08991659709404,4.1134009463876,3.98553794883053,4.15158111285695,4.0158955733134,4.05834361894859,4.26807532043168
"Mx2",8.78318728628287,8.81454876698746,7.91902986952372,8.90473531042543,8.29431098631026,7.72470708501121,7.93910808360683
"Mxi1",9.49422705337812,9.91325619029802,9.79766448786667,8.99579350447062,9.22149852544205,9.06106720676174,9.10634123711455
"Myb",4.82019113107786,4.90594315566154,5.04213432590205,5.21294338954342,4.74836574826562,4.85910074568339,4.74880263094898
"Mybl1",4.09849879063048,4.290325564433,4.43039368656511,4.30615233484204,4.31759065631541,4.23280941464229,4.31235085461635
"Mybpc1",10.1319866200705,8.2711708252355,4.53223331786212,4.4777302179887,4.14589136720082,4.26807532043168,4.63891692097301
"Mybl2",6.47547965555299,6.75963044121348,6.59967056164527,6.7023298623344,6.76862079725035,6.41372081571533,6.58731158842173
"Mybpc2",7.94859438018044,5.3191873957508,4.63185995002942,4.49715527328679,4.63891692097301,4.30183874318541,4.67373003386525
"Mybpc3",7.06122873290937,6.78362033927096,6.91918947068826,7.20840174251926,6.86131774178025,6.91818414227112,6.78011384167941
"Mybph",6.61598562735846,7.10883743013937,6.69635950222921,6.89902800072092,7.08270295876462,6.62689000185731,6.62044289002813
"Myc",8.52636311275289,7.18561425581379,8.17790163956618,7.8785456812677,8.62611000058589,7.59925088771661,7.62895608406454
"Mycl",6.17057849931887,6.50004680139535,6.3443466212851,6.23785817303552,6.20634671806285,6.26696652428296,6.12325399607676
"Mycn",4.44591971358446,4.43861575902737,4.53492320621517,4.39307331580115,4.35112673922422,4.38659439053169,4.54163787961793
"Myd88",9.51815432100957,9.43658161135166,8.57418509100374,8.71232826486537,8.34934363956565,8.79387002213707,8.68086714647209
"Gadd45b",9.30088248952505,8.58612884737187,8.79882111493455,8.1868430332764,9.74615632417979,7.9664721428573,8.0769465833317
"Myf5",4.01135892633236,3.96217199551671,3.98088731296327,3.94376485741788,3.94017031904766,4.04341249135008,3.96158259858594
"Myf6",5.06333496204899,4.79699670765011,4.74661498848503,4.67416940982097,4.70668417257543,4.67065159015059,4.74924180867008
"Myh1",9.72696339641031,8.68086714647209,4.35112673922422,3.87880058528879,4.54163787961793,4.2024619031992,3.90159869687266
"Serpinc1",4.12026881388568,4.37263119239206,4.35394450548927,4.41200932530926,4.47319759528004,4.27922607952424,4.3090161143652
"Myh2",10.0743956413992,6.2553045053957,4.05338254472233,3.93716520917882,4.01249531802516,3.7870217191555,4.01022217656363
"Myh3",4.03393231361725,3.97331425757755,4.03280924347151,4.03280924347151,3.89469630859745,3.98495709434462,4.02662192386045
"Myh4",4.19593092281455,3.94436449459454,3.93897014873563,3.97038822087729,3.75187957689176,3.86650584152095,3.96980350277614
"Myh6",4.22935413974628,4.09742635928372,4.04896537837346,3.96745956979581,4.13339001367166,3.97448432559517,4.06986507488133
"Myh7",10.4122435355111,9.60185326402075,4.31996747122777,4.04896537837346,4.06494030881245,3.99707037882087,5.22775567195476
"Myh8",4.33936733923042,4.31330691146731,4.23676239683622,4.26321942166447,4.19240912538779,4.24512262425533,4.16188076105795
"Myh9",9.65116050289266,9.39621886303429,9.16187595162082,9.46820808647425,9.10634123711455,9.17403198707068,9.16692793841528
"Myh10",8.75552434063359,8.93368511978344,8.23000830820889,8.70204285360202,8.93191744299804,8.75794479542436,8.62001748251551
"Myh11",6.38096854878216,6.23349433233842,5.97893544703076,6.10492744994851,5.97605619090208,6.09769783251066,5.71675926152795
"Zfhx3",4.6895726287691,4.5613123254436,4.52506924060692,4.97217944707652,4.64156524195218,5.12361024818829,4.94276448915454
"Myl1",10.4920582863911,7.29907813168656,4.34453811036384,4.54342608033259,4.46502963745089,4.40000999609882,4.80618501010899
"Myl2",8.57716992390321,7.18872254005657,4.04452713543185,4.187361327926,4.33417534108747,4.07477137111405,4.87924053765131
"Myl3",8.47020632937237,8.08868407385565,7.13451977225105,7.10729852900217,7.04999996939562,7.10627208276751,7.09089778521953
