"","GSM2460692","GSM2460693","GSM2460694","GSM2460695","GSM2460696"
"Actr2",10.5936296703564,10.4391477492566,10.5232600857177,10.2252639779795,9.96605180297938
"Tspan5",7.70450266237457,6.3873085035372,6.45487371116096,7.5599366286174,5.78695965746371
"Tspan3",8.38760172798495,9.26284163997464,9.30639185779793,9.16996988118525,9.75211367289121
"Adam8",5.93580789041844,5.05581392363785,5.00248379856492,5.28284207049902,5.16326504090886
"Cdh12",3.61826098533017,3.65357952460626,3.74632242519143,3.69644256865089,3.55642985104164
"Tspan2",5.68982161752221,5.85027128188623,5.84884210800515,5.68272529226983,5.14095961174756
"Nubp2",7.64940077189731,7.49553227822557,7.58282230262088,7.87040047426913,8.12984500356464
"Tsfm",5.31008758416616,5.43845011073091,5.31736509602413,5.44768694985922,5.37081500251302
"Tspan1",5.75656747332318,5.62714936947073,5.68839800874696,5.49909788786561,5.64268205908002
"Ppif",7.9054994080109,6.15704551920373,6.16960837286138,7.13863237670106,6.82315732340882
"Ctdsp2",8.08065184926242,7.46117170776169,7.25570543971666,7.82819871863742,7.44244829748616
"Trim10",4.49309714659654,4.29272640867825,4.21795007029151,4.1777210335517,4.32329308841764
"Arpc2",11.9150934028322,11.3410346368996,11.2408882076713,11.5479566567684,11.097712015342
"Sgk2",5.28691278155274,5.24035700925929,5.29190333243331,4.71984818411371,6.76912174362914
"Rad50",6.39268703656553,7.15667266826157,6.94492533263261,6.62341629511958,7.03624334743671
"Kif20a",5.09920114675367,4.77508955290512,4.96822303153076,5.75466775002067,5.17354236676737
"Preb",7.58009053617552,7.79608008077056,7.78466335693726,8.37250238397055,8.43556984003042
"Hipk3",7.13039648588699,7.08679876949129,7.08015048395907,6.73816843083206,5.89560702006257
"Fem1b",6.52809326102359,6.94492533263261,7.06992477163838,6.6070903648591,6.46909088930879
"Cdh13",8.99579350447062,9.37529324555836,9.37529324555836,10.1717658798144,8.39449342654106
"Actr1b",7.78238152299919,7.57627271664383,7.52682866601895,7.80237048062135,7.91432006619095
"Actr1a",7.74950345439546,7.52682866601895,7.62124562543613,8.14430087016538,7.75572239956759
"Arl4c",8.53219324407188,8.44683123166379,8.89345868228145,9.22045224891916,7.71346610071585
"Rasgrp1",7.38178029069549,5.80359475566268,5.16371022521354,6.10347919047053,6.03801975054037
"Dnal4",6.45536284084158,6.27279642003809,6.26842592896018,5.82359623111627,6.47940897037429
"Znf263",7.31848469886133,7.70897055312856,7.66546702102809,7.61133810459467,7.89551334846912
"Lrpprc",7.87912403794068,8.46168909234006,8.3513778225699,8.49166023899029,8.54022316645078
"Fry",7.20944208178884,7.53496070752716,7.04745273576539,6.42693934809127,7.02962673462858
"Cdh15",4.93837645575263,4.96119324080193,5.00909022394937,5.43891280260046,5.17577152533648
"Pdia6",9.78384097283249,10.3098412044478,10.3143418616382,10.3031437136171,10.0155022665781
"Trap1",7.8721430148188,8.23780557734072,8.20864863618639,8.80460217686918,8.64523318463044
