"","B cell","Dendritic cell","Eosinophils","Macrophage","Mast cell","Monocyte","Neutrophil","NK cell","T cell","Basophil"
"I830127L07Rik",468.401486988848,297.46835443038,232.142857142857,368.515205724508,187.5,1112.79461279461,1293.06245947698,291.666666666667,252.525252525253,1888.25214899713
"Ifi205",1.85873605947955,25.3164556962025,0,6.26118067978533,0,15.1515151515152,0.432245515452777,0,20.2020202020202,0
"Ifitm6",92.9368029739777,63.2911392405063,142.857142857143,99.2844364937388,93.75,139.73063973064,1546.14220877458,125,222.222222222222,1753.58166189112
"Il4",0,0,0,0,125,0,0.648368273179166,0,0,8.59598853868195
"Il9r",0.929368029739777,0,0,0,0,0,0.432245515452777,0,0,0
"Itga2b",2.78810408921933,0,17.8571428571429,23.2558139534884,375,5.05050505050505,7.99654203587638,0,0,14.3266475644699
"Itgam",40.8921933085502,75.9493670886076,35.7142857142857,82.2898032200358,125,97.6430976430976,268.856710611627,0,50.5050505050505,412.607449856734
"Itgax",0.929368029739777,75.9493670886076,0,2.68336314847943,0,5.05050505050505,1.72898206181111,41.6666666666667,10.1010101010101,2.86532951289398
"Izumo1r",0,0,0,0,0,0,0.432245515452777,0,70.7070707070707,2.86532951289398
"Klra13-ps",0,0,0,0.894454382826476,0,0,1.51285930408472,500,101.010101010101,0
"Klra7",0.929368029739777,0,0,0.894454382826476,0,1.68350168350168,2.59347309271666,500,101.010101010101,0
"Klra8",0.929368029739777,0,0,1.78890876565295,0,0,0.648368273179166,375,20.2020202020202,0
"Klrc1",4.64684014869889,6.32911392405063,17.8571428571429,1.78890876565295,0,0,3.24184136589583,458.333333333333,121.212121212121,2.86532951289398
"Klrd1",11.1524163568773,94.9367088607595,0,3.5778175313059,0,6.73400673400673,4.32245515452777,1208.33333333333,282.828282828283,0
"Klre1",0.929368029739777,6.32911392405063,0,0.894454382826476,0,0,0.648368273179166,833.333333333333,70.7070707070707,0
"Klrg1",0,0,0,0.894454382826476,0,0,0.216122757726389,83.3333333333333,0,0
"Klri2",0.929368029739777,0,0,0,0,0,0.216122757726389,125,0,0
"Klrk1",9.29368029739777,18.9873417721519,0,4.47227191413238,0,5.05050505050505,0.648368273179166,583.333333333333,30.3030303030303,0
"Lck",42.7509293680297,31.6455696202532,0,17.8890876565295,31.25,16.8350168350168,14.6963475253944,333.333333333333,616.161616161616,11.4613180515759
"Ly6g",100.371747211896,170.886075949367,89.2857142857143,105.545617173524,312.5,139.73063973064,696.131402636698,291.666666666667,181.818181818182,676.21776504298
"Lyz1",1.85873605947955,6.32911392405063,0,11.6279069767442,0,23.5690235690236,25.7186081694402,0,0,20.0573065902579
"Mcemp1",166.35687732342,278.481012658228,125,225.402504472272,281.25,287.878787878788,671.925653771342,250,222.222222222222,736.389684813754
"Mfsd7a",1.85873605947955,0,0,4.47227191413238,0,11.7845117845118,0.864491030905554,0,0,0
"Mmp25",0.929368029739777,0,0,4.47227191413238,0,8.41750841750842,24.6379943808083,0,10.1010101010101,25.7879656160458
"Ms4a2",3.71747211895911,6.32911392405063,17.8571428571429,5.36672629695885,812.5,1.68350168350168,23.1251350767236,0,0,51.5759312320917
"Ms4a4b",52.0446096654275,37.9746835443038,0,27.7280858676208,93.75,80.8080808080808,29.3926950507888,2458.33333333333,1494.94949494949,14.3266475644699
"Mzb1",394.052044609665,88.6075949367089,17.8571428571429,24.1502683363148,62.5,8.41750841750842,27.231467473525,41.6666666666667,30.3030303030303,5.73065902578797
"Ncr1",1.85873605947955,0,0,1.78890876565295,0,1.68350168350168,1.9451048195375,541.666666666667,10.1010101010101,0
"Nkg7",307.620817843866,145.569620253165,285.714285714286,2977.63864042934,468.75,227.272727272727,357.683164037173,3166.66666666667,1080.80808080808,246.418338108883
"Nudt17",0.929368029739777,0,0,0.894454382826476,0,0,0.864491030905554,0,0,0
"Olr1",0,0,0,20.5724508050089,0,8.41750841750842,13.1834882213097,0,0,37.2492836676218
"Padi4",13.0111524163569,18.9873417721519,0,20.5724508050089,0,23.5690235690236,125.351199481305,0,20.2020202020202,94.5558739255014
"Prf1",1.85873605947955,0,0,1.78890876565295,0,0,0.432245515452777,125,10.1010101010101,0
"Prg3",14.8698884758364,0,0,8.05008944543828,0,3.36700336700337,22.0445212880916,0,0,14.3266475644699
"Prss57",71.5613382899628,63.2911392405063,53.5714285714286,753.130590339893,0,69.023569023569,99.6325913118651,83.3333333333333,60.6060606060606,131.805157593123
"Rab44",56.6914498141264,18.9873417721519,17.8571428571429,201.252236135957,218.75,45.4545454545455,73.0494921115193,0,20.2020202020202,134.670487106017
"Rasgrp4",50.185873605948,69.620253164557,35.7142857142857,37.567084078712,62.5,89.2255892255892,141.128160795332,0,50.5050505050505,169.054441260745
"Retnlg",279.739776951673,677.215189873418,232.142857142857,150.268336314848,406.25,409.090909090909,5169.22411929976,0,141.414141414141,8.59598853868195
"Rgs18",30.6691449814126,31.6455696202532,53.5714285714286,68.8729874776386,31.25,40.4040404040404,49.492111519343,0,20.2020202020202,74.4985673352435
"Sh2d1a",0,6.32911392405063,0,0,0,1.68350168350168,1.08061378863194,208.333333333333,70.7070707070707,0
"Sh2d2a",5.57620817843866,0,0,0,0,0,2.16122757726389,125,50.5050505050505,0
"Siglecf",2.78810408921933,0,0,17.8890876565295,0,0,4.97082342770694,0,10.1010101010101,8.59598853868195
"Skint3",1.85873605947955,0,0,4.47227191413238,0,6.73400673400673,1.9451048195375,0,0,0
"Slamf8",0,6.32911392405063,0,3.5778175313059,0,5.05050505050505,0.648368273179166,0,0,2.86532951289398
"Spib",205.390334572491,405.063291139241,35.7142857142857,30.4114490161002,156.25,11.7845117845118,28.7443267776097,0,10.1010101010101,17.1919770773639
"Tal1",6.50557620817844,0,196.428571428571,10.7334525939177,0,1.68350168350168,3.24184136589583,0,0,2.86532951289398
"Tarm1",4.64684014869889,6.32911392405063,0,5.36672629695885,62.5,6.73400673400673,22.260644045818,0,10.1010101010101,5.73065902578797
"Tcf7",1.85873605947955,0,0,1.78890876565295,0,1.68350168350168,3.24184136589583,125,141.414141414141,2.86532951289398
"Tgtp2",11.1524163568773,18.9873417721519,178.571428571429,22.3613595706619,0,6.73400673400673,2.59347309271666,41.6666666666667,30.3030303030303,0
"Themis",0,0,0,0,0,0,0.216122757726389,0,20.2020202020202,2.86532951289398
"Tlr13",6.50557620817844,12.6582278481013,35.7142857142857,15.2057245080501,0,35.3535353535353,21.8283985303652,0,10.1010101010101,0
"Tlr5",0,0,0,0.894454382826476,0,0,0.864491030905554,0,10.1010101010101,0
"Tnfrsf13c",62.2676579925651,12.6582278481013,0,8.05008944543828,31.25,8.41750841750842,7.99654203587638,0,0,0
"Tnfrsf18",12.0817843866171,31.6455696202532,0,12.5223613595707,62.5,11.7845117845118,19.6671709531014,125,90.9090909090909,25.7879656160458
"Tnip3",0,0,0,0.894454382826476,0,0,0.864491030905554,0,0,0
"Trac",1.85873605947955,12.6582278481013,0,0.894454382826476,0,5.05050505050505,7.34817376269721,166.666666666667,434.343434343434,0
"Xlr4b",13.0111524163569,12.6582278481013,17.8571428571429,16.1001788908766,0,5.05050505050505,2.59347309271666,0,20.2020202020202,2.86532951289398
"Zap70",1.85873605947955,6.32911392405063,0,0,0,3.36700336700337,1.9451048195375,0,101.010101010101,2.86532951289398
"9830107B12Rik",15.7992565055762,12.6582278481013,17.8571428571429,8.05008944543828,31.25,6.73400673400673,49.9243570347958,41.6666666666667,0,77.3638968481375
"A530030E21Rik",5.57620817843866,31.6455696202532,0,0.894454382826476,0,0,2.16122757726389,0,0,0
