"","B cell","Dendritic cell","Macrophage","Neutrophil","T cell","Basophil","Monocyte","NK cell"
"Cd7",0,0,3.6231884057971,0,183.333333333333,31.5186246418338,55.2486187845304,320
"Cd79a",678.571428571429,0,3.6231884057971,0,0,34.3839541547278,44.1988950276243,137.142857142857
"Cd79b",500,0,21.7391304347826,0,0,25.7879656160458,49.7237569060773,225.714285714286
"Cd83",142.857142857143,1335.82089552239,1028.98550724638,692.307692307692,33.3333333333333,0,5.52486187845304,20
"Cd8a",0,22.3880597014925,3.6231884057971,0,200,0,0,48.5714285714286
"Cd8b1",0,0,3.6231884057971,0,133.333333333333,5.73065902578797,11.0497237569061,168.571428571429
"Clec4a3",0,29.8507462686567,141.304347826087,76.9230769230769,0,2.86532951289398,127.07182320442,34.2857142857143
"Clec4e",0,22.3880597014925,213.768115942029,1307.69230769231,16.6666666666667,71.6332378223496,16.5745856353591,34.2857142857143
"Clec5a",0,14.9253731343284,7.2463768115942,0,0,169.054441260745,99.4475138121547,2.85714285714286
"Cma1",0,0,0,0,16.6666666666667,0,0,342.857142857143
"Ctsw",0,0,10.8695652173913,0,300,0,0,605.714285714286
"Cxcl2",0,313.432835820896,1141.30434782609,2230.76923076923,16.6666666666667,11.4613180515759,0,2.85714285714286
"Cxcl3",0,14.9253731343284,10.8695652173913,0,0,0,0,0
"Cxcr2",0,0,0,0,0,80.2292263610315,11.0497237569061,20
"Cxcr6",0,0,0,0,266.666666666667,0,0,5.71428571428571
"Dpep2",0,89.5522388059701,21.7391304347826,0,0,0,22.0994475138122,0
"Ear1",0,0,0,0,0,2.86532951289398,11.0497237569061,0
"Ear2",0,52.2388059701493,57.9710144927536,461.538461538462,0,108.882521489971,160.220994475138,40
"F730016J06Rik",0,0,0,0,0,11.4613180515759,0,0
"Fcer1a",0,0,0,0,0,63.0372492836676,0,0
"Fcer2a",71.4285714285714,0,3.6231884057971,0,0,2.86532951289398,0,74.2857142857143
"Fcgr4",71.4285714285714,29.8507462686567,213.768115942029,0,16.6666666666667,40.1146131805158,0,28.5714285714286
"Fcmr",250,0,0,0,16.6666666666667,11.4613180515759,5.52486187845304,185.714285714286
"Fcrl1",35.7142857142857,22.3880597014925,7.2463768115942,0,0,5.73065902578797,5.52486187845304,42.8571428571429
"G430095P16Rik",0,14.9253731343284,0,0,0,2.86532951289398,33.1491712707182,2.85714285714286
"Gapt",0,7.46268656716418,3.6231884057971,0,0,85.9598853868195,171.270718232044,2.85714285714286
"Gm13986",0,0,0,0,0,5.73065902578797,5.52486187845304,0
"Gm20324",0,0,0,0,0,2.86532951289398,0,14.2857142857143
"Gm8113",0,0,0,0,0,0,5.52486187845304,0
"Gm9733",0,7.46268656716418,3.6231884057971,0,0,20.0573065902579,27.6243093922652,8.57142857142857
"Gzma",0,7.46268656716418,10.8695652173913,0,383.333333333333,5.73065902578797,5.52486187845304,7760
"Gzmb",0,7.46268656716418,7.2463768115942,0,66.6666666666667,0,0,357.142857142857
"H2-Eb2",0,44.7761194029851,3.6231884057971,0,0,0,0,8.57142857142857
"I830127L07Rik",0,7.46268656716418,28.9855072463768,0,0,1888.25214899713,1674.03314917127,117.142857142857
"Ifi205",0,126.865671641791,0,76.9230769230769,0,0,11.0497237569061,2.85714285714286
"Ifitm6",0,44.7761194029851,61.5942028985507,76.9230769230769,0,1753.58166189112,303.867403314917,105.714285714286
"Il4",0,0,0,0,16.6666666666667,8.59598853868195,0,0
"Itga2b",0,0,3.6231884057971,153.846153846154,16.6666666666667,14.3266475644699,0,0
"Itgam",0,14.9253731343284,25.3623188405797,230.769230769231,16.6666666666667,412.607449856734,132.596685082873,122.857142857143
"Itgax",0,52.2388059701493,43.4782608695652,0,0,2.86532951289398,11.0497237569061,117.142857142857
"Izumo1r",0,0,0,0,33.3333333333333,2.86532951289398,0,8.57142857142857
"Klra13-ps",0,0,0,0,16.6666666666667,0,0,674.285714285714
"Klra7",0,0,0,0,33.3333333333333,0,0,420
"Klra8",0,0,0,0,50,0,0,700
"Klrc1",0,0,0,0,66.6666666666667,2.86532951289398,0,137.142857142857
"Klrd1",0,89.5522388059701,7.2463768115942,0,16.6666666666667,0,11.0497237569061,817.142857142857
"Klre1",0,0,0,0,33.3333333333333,0,0,348.571428571429
"Klrg1",0,0,0,0,16.6666666666667,0,0,425.714285714286
"Klri2",0,0,0,0,0,0,0,171.428571428571
"Klrk1",0,44.7761194029851,21.7391304347826,0,83.3333333333333,0,5.52486187845304,440
