,B cell,Basophil,Dendritic cell,Macrophage,Monocyte,Neutrophil,NK cell,T cell
Pax5,7.000141133,0,0,4.298995776,3.590928168,3.629467135,4.886132035,3.985208515
Prg2,4.044732979,5.865587052,4.378648964,3.995274938,5.31012316,9.338206417,1.94753258,0.672173497
5730522E02Rik,0,0,0,0,0,0,0,0
Ccr6,4.145390666,0,0,2.455308789,0,0.624533109,0,2.793837238
Clec4a4,0,0,0,2.949807086,2.705947362,1.05895621,1.94753258,0
Ear6,1.759246053,2.750747772,3.446387271,1.696951937,3.590928168,7.074706834,2.74723393,0.672173497
Epx,0,1.950591407,3.446387271,0.805196814,4.135418769,6.515161639,1.94753258,0.672173497
Gzmk,0,0,0,0,0,0,2.74723393,1.988178969
Tmigd3,0.67473445,0,4.378648964,0.805196814,0,1.05895621,0,0.672173497
Tlr8,0,0,0,0,0,0,0,0.672173497
Muc6,0,0,0,0,0,1.05895621,0,0
Gm11695,0,0,0,0,0,0,0,0.672173497
Gm6209,0,0,0,0,0,0.624533109,0,0
Ighd,1.759246053,0,0,0,0,0,0,0
Trac,6.272896121,0,0,5.114045756,0,5.241703038,6.658211483,9.049258783
Trbc,8.520147175,4.890120524,5.916618533,8.104808316,3.590928168,7.153671417,9.701182673,11.19513851
Trbj,1.132646488,0,0,0.805196814,0,0,2.74723393,2.664766411
