"","B cell","Dendritic cell","Macrophage","NK cell","T cell","Basophil","Monocyte","Neutrophil"
"Cd4",0,0,0,0,35.7142857142857,0,0,2.16684723726977
"Cd40",0,20.4081632653061,0,0,0,0,16.5745856353591,1.62513542795233
"Cd5",0,0,0,0,0,0,0,2.16684723726977
"Cd6",0,0,0,0,107.142857142857,0,0,5.95882990249187
"Cd7",2.3696682464455,20.4081632653061,0,384.615384615385,0,31.5186246418338,55.2486187845304,14.0845070422535
"Cd79a",125.592417061611,20.4081632653061,0,0,35.7142857142857,34.3839541547278,44.1988950276243,101.841820151679
"Cd79b",111.374407582938,20.4081632653061,0,0,0,25.7879656160458,49.7237569060773,104.550379198267
"Cd83",47.3933649289099,755.102040816327,640.625,230.769230769231,71.4285714285714,0,5.52486187845304,8.12567713976165
"Cd8a",4.739336492891,20.4081632653061,0,0,107.142857142857,0,0,22.7518959913326
"Cd8b1",9.47867298578199,20.4081632653061,0,0,178.571428571429,5.73065902578797,11.0497237569061,62.296858071506
"Clec2g",2.3696682464455,0,0,0,0,0,0,0
"Clec4a3",2.3696682464455,0,46.875,0,0,2.86532951289398,127.07182320442,29.2524377031419
"Clec4e",4.739336492891,0,31.25,0,0,71.6332378223496,16.5745856353591,235.10292524377
"Clec5a",0,0,15.625,0,0,169.054441260745,99.4475138121547,116.46803900325
"Cma1",2.3696682464455,20.4081632653061,0,0,0,0,0,4.87540628385699
"Ctsw",9.47867298578199,20.4081632653061,15.625,76.9230769230769,35.7142857142857,0,0,29.2524377031419
"Cxcl2",2.3696682464455,673.469387755102,1843.75,0,0,11.4613180515759,0,49.8374864572048
"Cxcr2",0,0,0,0,0,80.2292263610315,11.0497237569061,308.775731310943
"Cxcr6",0,0,0,0,0,0,0,4.33369447453954
"Dpep2",0,20.4081632653061,0,0,0,0,22.0994475138122,0.541711809317443
"Ear1",0,0,0,0,0,2.86532951289398,11.0497237569061,52.546045503792
"Ear2",0,0,93.75,0,0,108.882521489971,160.220994475138,146.26218851571
"F730016J06Rik",0,0,0,0,0,11.4613180515759,0,16.7930660888407
"Fcer1a",0,0,0,0,0,63.0372492836676,0,40.6283856988082
"Fcer2a",0,0,0,0,0,2.86532951289398,0,24.3770314192849
"Fcgr4",4.739336492891,40.8163265306122,78.125,0,0,40.1146131805158,0,75.839653304442
"Fcmr",7.10900473933649,40.8163265306122,15.625,0,0,11.4613180515759,5.52486187845304,76.3813651137595
"Fcrl1",7.10900473933649,0,0,0,0,5.73065902578797,5.52486187845304,13.5427952329361
"G430095P16Rik",0,0,0,0,0,2.86532951289398,33.1491712707182,4.33369447453954
"Gapt",0,0,0,0,0,85.9598853868195,171.270718232044,66.0888407367281
"Gm13986",0,0,0,0,0,5.73065902578797,5.52486187845304,3.25027085590466
"Gm20324",0,0,0,0,0,2.86532951289398,0,8.66738894907909
"Gm8113",0,0,0,0,0,0,5.52486187845304,12.4593716143012
"Gm9733",0,0,0,0,0,20.0573065902579,27.6243093922652,31.4192849404117
"Gzma",16.5876777251185,0,0,1307.69230769231,107.142857142857,5.73065902578797,5.52486187845304,27.0855904658722
"Gzmb",0,0,0,76.9230769230769,0,0,0,1.08342361863489
"H2-Eb2",0,0,0,0,0,0,0,1.62513542795233
"I830127L07Rik",26.0663507109005,0,0,0,0,1888.25214899713,1674.03314917127,1177.1397616468
"Ifi205",4.739336492891,61.2244897959184,15.625,0,0,0,11.0497237569061,0
"Ifitm6",0,0,31.25,0,0,1753.58166189112,303.867403314917,1921.45178764897
"Il4",0,0,0,0,0,8.59598853868195,0,0
"Il9r",0,0,0,0,0,0,0,1.08342361863489
"Itga2b",0,0,0,0,0,14.3266475644699,0,7.04225352112676
"Itgam",0,0,0,0,0,412.607449856734,132.596685082873,382.448537378115
"Itgax",0,20.4081632653061,78.125,0,0,2.86532951289398,11.0497237569061,7.04225352112676
"Izumo1r",2.3696682464455,0,0,0,107.142857142857,2.86532951289398,0,1.62513542795233
"Klra13-ps",0,0,0,0,0,0,0,8.12567713976165
"Klra7",0,0,0,0,0,0,0,4.33369447453954
"Klra8",0,0,0,0,0,0,0,7.5839653304442
"Klrc1",0,0,0,0,35.7142857142857,2.86532951289398,0,1.62513542795233
"Klrd1",0,0,0,76.9230769230769,0,0,11.0497237569061,18.4182015167931
"Klre1",0,0,0,0,0,0,0,2.16684723726977
"Klrg1",2.3696682464455,0,0,0,0,0,0,2.16684723726977
"Klri2",0,0,0,0,0,0,0,1.08342361863489
"Klrk1",0,0,0,0,0,0,5.52486187845304,1.62513542795233
"Lck",11.8483412322275,20.4081632653061,0,153.846153846154,392.857142857143,11.4613180515759,0,56.8797399783315
"Ly6g",7.10900473933649,0,0,0,0,676.21776504298,116.022099447514,919.284940411701
"Lyz1",16.5876777251185,408.163265306122,421.875,0,0,20.0573065902579,16.5745856353591,18.9599133261105
"Mcemp1",0,0,0,76.9230769230769,0,736.389684813754,337.016574585635,771.939328277356
"Mfsd7a",0,0,15.625,0,0,0,33.1491712707182,1.08342361863489
"Mmp25",0,0,0,0,0,25.7879656160458,0,52.0043336944745
"Ms4a2",0,0,0,0,0,51.5759312320917,0,16.2513542795233
"Ms4a4b",14.218009478673,0,31.25,153.846153846154,535.714285714286,14.3266475644699,55.2486187845304,76.9230769230769
"Mzb1",1270.14218009479,40.8163265306122,31.25,153.846153846154,35.7142857142857,5.73065902578797,5.52486187845304,28.169014084507
"Ncr1",0,0,0,0,0,0,0,3.25027085590466
"Nkg7",7.10900473933649,0,0,384.615384615385,214.285714285714,246.418338108883,110.497237569061,271.939328277356
"Nudt17",0,0,0,384.615384615385,0,0,5.52486187845304,1.08342361863489
"Olr1",0,0,0,0,0,37.2492836676218,0,18.4182015167931
"Padi4",2.3696682464455,0,0,0,0,94.5558739255014,33.1491712707182,169.014084507042
"Prf1",0,0,0,0,0,0,0,7.5839653304442
"Prg3",0,0,0,0,0,14.3266475644699,11.0497237569061,35.7529794149512
"Prss57",14.218009478673,0,0,0,0,131.805157593123,33.1491712707182,86.1321776814735
"Rab44",0,0,0,0,0,134.670487106017,60.7734806629834,85.0487540628386
"Rasgrp4",2.3696682464455,0,0,0,0,169.054441260745,116.022099447514,202.058504875406
