"","B cell","Dendritic cell","Eosinophils","Macrophage","Monocyte","Neutrophil","NK cell","T cell","Basophil"
"Fcer1a",0,0,0,0.835421888053467,0,29.045643153527,8.98203592814371,0,63.0372492836676
"Fcer2a",140.816326530612,7.29040097205346,50.5050505050505,11.6959064327485,0,20.746887966805,8.98203592814371,14.6103896103896,2.86532951289398
"Fcgr4",6.12244897959184,36.4520048602673,40.4040404040404,70.1754385964912,0,33.195020746888,2.9940119760479,3.24675324675325,40.1146131805158
"Fcmr",443.877551020408,49.8177399756987,151.515151515152,35.9231411862991,0,82.9875518672199,56.8862275449102,34.0909090909091,11.4613180515759
"Fcrl1",88.7755102040816,9.72053462940462,20.2020202020202,5.0125313283208,0,41.49377593361,5.98802395209581,9.74025974025974,5.73065902578797
"G430095P16Rik",0,14.5808019441069,10.1010101010101,18.3792815371763,0,12.448132780083,5.98802395209581,1.62337662337662,2.86532951289398
"Gapt",8.16326530612245,21.8712029161604,10.1010101010101,15.0375939849624,90.9090909090909,12.448132780083,2.9940119760479,0,85.9598853868195
"Gm13986",1.02040816326531,0,0,0.835421888053467,0,0,0,0,5.73065902578797
"Gm20324",5.10204081632653,6.07533414337789,10.1010101010101,4.17710944026734,0,4.149377593361,2.9940119760479,9.74025974025974,2.86532951289398
"Gm5544",0,2.43013365735115,0,2.5062656641604,0,0,0,0,0
"Gm8113",2.04081632653061,6.07533414337789,0,10.0250626566416,0,0,0,0,0
"Gm9733",1.02040816326531,30.3766707168894,10.1010101010101,39.2648287385129,181.818181818182,16.597510373444,0,0,20.0573065902579
"Gzma",378.571428571429,280.680437424058,474.747474747475,210.526315789474,90.9090909090909,369.294605809129,6520.95808383234,357.142857142857,5.73065902578797
"Gzmb",6.12244897959184,4.86026731470231,0,5.84795321637427,0,82.9875518672199,541.916167664671,60.0649350649351,0
"H2-Eb2",17.3469387755102,14.5808019441069,0,1.67084377610693,0,0,0,0,0
"I830127L07Rik",24.4897959183673,48.6026731470231,50.5050505050505,86.0484544695071,545.454545454545,149.377593360996,41.9161676646707,12.987012987013,1888.25214899713
"Ifi205",5.10204081632653,162.818955042527,0,25.062656641604,0,0,2.9940119760479,3.24675324675325,0
"Ifitm6",58.1632653061224,171.324422843256,40.4040404040404,215.538847117794,1000,323.651452282158,65.8682634730539,34.0909090909091,1753.58166189112
"Il4",1.02040816326531,0,0,0,0,8.29875518672199,0,4.87012987012987,8.59598853868195
"Il9r",9.18367346938776,2.43013365735115,0,0,0,0,2.9940119760479,4.87012987012987,0
"Itga2b",3.06122448979592,0,0,0.835421888053467,0,4.149377593361,0,0,14.3266475644699
"Itgam",4.08163265306122,64.3985419198056,40.4040404040404,60.9857978279031,90.9090909090909,78.8381742738589,80.8383233532934,8.11688311688312,412.607449856734
"Itgax",28.5714285714286,151.883353584447,60.6060606060606,237.259816207185,0,53.9419087136929,71.8562874251497,9.74025974025974,2.86532951289398
"Izumo1r",5.10204081632653,4.86026731470231,0,1.67084377610693,0,0,8.98203592814371,51.948051948052,2.86532951289398
"Klra13-ps",4.08163265306122,3.64520048602673,0,5.0125313283208,0,4.149377593361,434.131736526946,25.974025974026,0
"Klra7",7.14285714285714,3.64520048602673,0,0.835421888053467,0,12.448132780083,362.275449101796,14.6103896103896,0
"Klra8",6.12244897959184,6.07533414337789,40.4040404040404,10.0250626566416,0,0,739.520958083832,9.74025974025974,0
"Klrc1",5.10204081632653,7.29040097205346,20.2020202020202,3.34168755221387,0,4.149377593361,143.712574850299,34.0909090909091,2.86532951289398
"Klrd1",12.2448979591837,155.528554070474,10.1010101010101,15.8730158730159,90.9090909090909,24.896265560166,544.910179640719,115.25974025974,0
"Klre1",3.06122448979592,1.21506682867558,0,3.34168755221387,0,8.29875518672199,410.179640718563,11.3636363636364,0
"Klrg1",10.2040816326531,6.07533414337789,0,1.67084377610693,0,12.448132780083,299.40119760479,29.2207792207792,0
"Klri2",1.02040816326531,0,0,1.67084377610693,0,0,212.574850299401,3.24675324675325,0
"Klrk1",7.14285714285714,46.1725394896719,0,10.8604845446951,0,12.448132780083,425.149700598802,30.8441558441558,0
"Lck",79.5918367346939,41.3122721749696,70.7070707070707,47.6190476190476,0,78.8381742738589,446.107784431138,512.987012987013,11.4613180515759
"Ly6g",0,0,0,0.835421888053467,0,82.9875518672199,2.9940119760479,1.62337662337662,676.21776504298
"Lyz1",253.061224489796,176.184690157959,404.040404040404,246.449456975773,0,240.663900414938,215.568862275449,125,20.0573065902579
"Mcemp1",34.6938775510204,174.969623329283,161.616161616162,363.408521303258,90.9090909090909,460.580912863071,74.8502994011976,29.2207792207792,736.389684813754
"Mfsd7a",3.06122448979592,2.43013365735115,0,11.6959064327485,90.9090909090909,0,0,3.24675324675325,0
"Mmp25",0,7.29040097205346,10.1010101010101,0.835421888053467,0,0,0,3.24675324675325,25.7879656160458
"Ms4a2",0,0,0,0,0,8.29875518672199,2.9940119760479,0,51.5759312320917
"Ms4a4b",79.5918367346939,35.2369380315917,60.6060606060606,45.9482038429407,0,49.7925311203319,928.14371257485,1000,14.3266475644699
"Mzb1",276.530612244898,13.3657351154313,0,12.531328320802,0,12.448132780083,20.9580838323353,6.49350649350649,5.73065902578797
"Ncr1",7.14285714285714,4.86026731470231,30.3030303030303,5.0125313283208,0,0,473.053892215569,3.24675324675325,0
"Nkg7",145.918367346939,75.3341433778858,141.414141414141,78.5296574770259,0,141.078838174274,2485.02994011976,589.285714285714,246.418338108883
"Nudt17",1.02040816326531,57.1081409477521,0,0.835421888053467,0,0,0,0,0
"Olr1",5.10204081632653,3.64520048602673,30.3030303030303,134.502923976608,0,29.045643153527,5.98802395209581,4.87012987012987,37.2492836676218
"Padi4",2.04081632653061,2.43013365735115,0,4.17710944026734,0,58.0912863070539,2.9940119760479,0,94.5558739255014
"Prf1",16.3265306122449,12.1506682867558,20.2020202020202,19.2147034252297,0,8.29875518672199,443.11377245509,22.7272727272727,0
"Prg3",0,0,0,0,0,0,0,0,14.3266475644699
"Prss57",4.08163265306122,1.21506682867558,0,4.17710944026734,0,8.29875518672199,0,0,131.805157593123
"Rab44",8.16326530612245,7.29040097205346,30.3030303030303,60.9857978279031,0,41.49377593361,8.98203592814371,3.24675324675325,134.670487106017
