"","B cell","Dendritic cell","Macrophage","Mast cell","NK cell","T cell","Basophil","Monocyte","Neutrophil"
"Cd4",7.08382526564345,37.6569037656904,31.6901408450704,90.9090909090909,12.9198966408269,60.8575380359613,0,0,2.16684723726977
"Cd40",4.72255017709563,146.443514644351,7.04225352112676,0,2.58397932816537,1.38312586445367,0,16.5745856353591,1.62513542795233
"Cd5",5.90318772136954,0,1.17370892018779,0,25.8397932816537,76.0719225449516,0,0,2.16684723726977
"Cd6",15.3482880755608,8.36820083682008,5.86854460093897,0,54.2635658914729,116.182572614108,0,0,5.95882990249187
"Cd7",8.26446280991736,167.364016736402,14.0845070422535,90.9090909090909,178.294573643411,95.4356846473029,31.5186246418338,55.2486187845304,14.0845070422535
"Cd79a",713.10507674144,58.5774058577406,43.4272300469484,363.636363636364,36.1757105943152,47.0262793914246,34.3839541547278,44.1988950276243,101.841820151679
"Cd79b",350.649350649351,58.5774058577406,69.2488262910798,0,25.8397932816537,49.7925311203319,25.7879656160458,49.7237569060773,104.550379198267
"Cd83",321.133412042503,1778.24267782427,1214.78873239437,363.636363636364,38.7596899224806,125.864453665284,0,5.52486187845304,8.12567713976165
"Cd8a",48.4061393152302,92.0502092050209,55.1643192488263,0,229.974160206718,305.67081604426,0,0,22.7518959913326
"Cd8b1",72.0188902007084,87.8661087866109,34.037558685446,90.9090909090909,576.227390180879,643.153526970954,5.73065902578797,11.0497237569061,62.296858071506
"Clec2g",10.6257378984652,0,1.17370892018779,0,0,0,0,0,0
"Clec4a3",5.90318772136954,12.5523012552301,366.197183098592,0,7.75193798449612,5.53250345781466,2.86532951289398,127.07182320442,29.2524377031419
"Clec4e",2.36127508854782,33.4728033472803,69.2488262910798,0,0,0,71.6332378223496,16.5745856353591,235.10292524377
"Clec5a",0,0,10.5633802816901,0,0,0,169.054441260745,99.4475138121547,116.46803900325
"Cma1",8.26446280991736,8.36820083682008,3.52112676056338,16090.9090909091,12.9198966408269,5.53250345781466,0,0,4.87540628385699
"Ctsw",56.6706021251476,37.6569037656904,16.4319248826291,363.636363636364,379.84496124031,244.813278008299,0,0,29.2524377031419
"Cxcl2",18.8902007083825,96.234309623431,1152.58215962441,0,10.3359173126615,17.9806362378976,11.4613180515759,0,49.8374864572048
"Cxcl3",0,4.18410041841004,2.34741784037559,0,0,0,0,0,0
"Cxcr2",0,0,0,0,0,0,80.2292263610315,11.0497237569061,308.775731310943
"Cxcr6",9.44510035419126,20.9205020920502,8.21596244131455,0,18.0878552971576,67.7731673582296,0,0,4.33369447453954
"Dpep2",0,20.9205020920502,70.4225352112676,0,2.58397932816537,0,0,22.0994475138122,0.541711809317443
"Ear1",0,0,0,0,0,0,2.86532951289398,11.0497237569061,52.546045503792
"Ear2",10.6257378984652,46.0251046025105,619.718309859155,0,10.3359173126615,4.149377593361,108.882521489971,160.220994475138,146.26218851571
"F730016J06Rik",0,0,0,0,0,0,11.4613180515759,0,16.7930660888407
"Fcer1a",0,0,1.17370892018779,909.090909090909,0,0,63.0372492836676,0,40.6283856988082
"Fcer2a",62.5737898465171,16.7364016736402,9.38967136150235,0,15.5038759689922,8.29875518672199,2.86532951289398,0,24.3770314192849
"Fcgr4",5.90318772136954,12.5523012552301,119.718309859155,0,2.58397932816537,0,40.1146131805158,0,75.839653304442
"Fcmr",164.108618654073,46.0251046025105,41.0798122065728,0,28.4237726098191,17.9806362378976,11.4613180515759,5.52486187845304,76.3813651137595
"Fcrl1",57.8512396694215,33.4728033472803,19.9530516431925,0,7.75193798449612,8.29875518672199,5.73065902578797,5.52486187845304,13.5427952329361
"G430095P16Rik",0,0,3.52112676056338,0,2.58397932816537,2.76625172890733,2.86532951289398,33.1491712707182,4.33369447453954
"Gapt",1.18063754427391,8.36820083682008,5.86854460093897,0,0,0,85.9598853868195,171.270718232044,66.0888407367281
"Gm13986",0,0,0,0,0,0,5.73065902578797,5.52486187845304,3.25027085590466
"Gm20324",4.72255017709563,12.5523012552301,9.38967136150235,0,12.9198966408269,23.5131396957123,2.86532951289398,0,8.66738894907909
"Gm8113",0,8.36820083682008,4.69483568075117,0,0,0,0,5.52486187845304,12.4593716143012
"Gm9733",0,0,0,0,0,0,20.0573065902579,27.6243093922652,31.4192849404117
"Gzma",38.961038961039,16.7364016736402,30.5164319248826,0,863.049095607235,22.1300138312586,5.73065902578797,5.52486187845304,27.0855904658722
"Gzmb",2.36127508854782,0,1.17370892018779,90.9090909090909,56.8475452196382,4.149377593361,0,0,1.08342361863489
"H2-Eb2",8.26446280991736,75.3138075313808,3.52112676056338,0,0,1.38312586445367,0,0,1.62513542795233
"I830127L07Rik",10.6257378984652,0,1.17370892018779,0,0,0,1888.25214899713,1674.03314917127,1177.1397616468
"Ifi205",7.08382526564345,12.5523012552301,42.2535211267606,0,2.58397932816537,8.29875518672199,0,11.0497237569061,0
"Ifitm6",4.72255017709563,121.338912133891,144.366197183099,0,5.16795865633075,4.149377593361,1753.58166189112,303.867403314917,1921.45178764897
"Il4",0,0,2.34741784037559,90.9090909090909,2.58397932816537,1.38312586445367,8.59598853868195,0,0
"Il9r",3.54191263282172,29.2887029288703,2.34741784037559,0,5.16795865633075,4.149377593361,0,0,1.08342361863489
"Itga2b",0,0,2.34741784037559,181.818181818182,2.58397932816537,0,14.3266475644699,0,7.04225352112676
"Itgam",1.18063754427391,25.1046025104602,113.849765258216,0,7.75193798449612,2.76625172890733,412.607449856734,132.596685082873,382.448537378115
"Itgax",0,83.6820083682008,110.328638497653,0,20.671834625323,1.38312586445367,2.86532951289398,11.0497237569061,7.04225352112676
"Izumo1r",10.6257378984652,0,5.86854460093897,0,38.7596899224806,131.396957123098,2.86532951289398,0,1.62513542795233
"Klra13-ps",7.08382526564345,8.36820083682008,4.69483568075117,0,116.279069767442,59.4744121715076,0,0,8.12567713976165
"Klra7",0,0,5.86854460093897,0,72.3514211886305,17.9806362378976,0,0,4.33369447453954
"Klra8",3.54191263282172,8.36820083682008,2.34741784037559,0,162.790697674419,5.53250345781466,0,0,7.5839653304442
"Klrc1",2.36127508854782,4.18410041841004,2.34741784037559,0,64.5994832041344,27.6625172890733,2.86532951289398,0,1.62513542795233
"Klrd1",17.7095631641086,112.970711297071,9.38967136150235,0,129.198966408269,82.9875518672199,0,11.0497237569061,18.4182015167931
"Klre1",1.18063754427391,8.36820083682008,2.34741784037559,0,74.9354005167959,17.9806362378976,0,0,2.16684723726977
"Klrg1",2.36127508854782,0,2.34741784037559,0,20.671834625323,70.5394190871369,0,0,2.16684723726977
"Klri2",0,8.36820083682008,0,0,18.0878552971576,0,0,0,1.08342361863489
"Klrk1",2.36127508854782,16.7364016736402,23.4741784037559,181.818181818182,85.2713178294574,38.7275242047026,0,5.52486187845304,1.62513542795233
"Lck",76.741440377804,71.1297071129707,57.5117370892019,90.9090909090909,558.139534883721,690.179806362379,11.4613180515759,0,56.8797399783315
"Ly6g",0,0,0,0,0,0,676.21776504298,116.022099447514,919.284940411701
"Lyz1",5.90318772136954,33.4728033472803,626.760563380282,0,15.5038759689922,17.9806362378976,20.0573065902579,16.5745856353591,18.9599133261105
"Mcemp1",2.36127508854782,142.259414225941,4.69483568075117,0,2.58397932816537,0,736.389684813754,337.016574585635,771.939328277356
"Mfsd7a",0,0,1.17370892018779,0,0,0,0,33.1491712707182,1.08342361863489
"Mmp25",0,4.18410041841004,0,0,0,1.38312586445367,25.7879656160458,0,52.0043336944745
"Ms4a2",0,0,0,0,0,0,51.5759312320917,0,16.2513542795233
"Ms4a4b",62.5737898465171,62.7615062761506,71.5962441314554,90.9090909090909,803.617571059431,1016.59751037344,14.3266475644699,55.2486187845304,76.9230769230769
"Mzb1",1265.64344746163,41.8410041841004,21.1267605633803,0,10.3359173126615,9.68188105117566,5.73065902578797,5.52486187845304,28.169014084507
"Ncr1",1.18063754427391,4.18410041841004,3.52112676056338,0,59.4315245478036,0,0,0,3.25027085590466
"Nkg7",99.1735537190083,58.5774058577406,64.5539906103286,272.727272727273,1098.19121447028,670.816044260028,246.418338108883,110.497237569061,271.939328277356
"Nudt17",2.36127508854782,502.092050209205,4.69483568075117,0,2.58397932816537,2.76625172890733,0,5.52486187845304,1.08342361863489
"Olr1",0,0,0,0,0,0,37.2492836676218,0,18.4182015167931
"Padi4",0,0,2.34741784037559,0,0,0,94.5558739255014,33.1491712707182,169.014084507042
"Prf1",2.36127508854782,0,5.86854460093897,0,59.4315245478036,20.746887966805,0,0,7.5839653304442
"Prg3",0,0,0,0,0,0,14.3266475644699,11.0497237569061,35.7529794149512
"Prss57",0,0,0,0,0,0,131.805157593123,33.1491712707182,86.1321776814735
"Rab44",0,0,1.17370892018779,272.727272727273,0,0,134.670487106017,60.7734806629834,85.0487540628386
"Rasgrp4",1.18063754427391,20.9205020920502,32.8638497652582,0,2.58397932816537,1.38312586445367,169.054441260745,116.022099447514,202.058504875406
"Retnlg",0,0,0,0,0,2.76625172890733,8.59598853868195,187.845303867403,10774.6478873239
"Rgs18",2.36127508854782,0,24.6478873239437,90.9090909090909,0,1.38312586445367,74.4985673352435,38.6740331491713,53.0877573131094
"Sh2d1a",3.54191263282172,0,2.34741784037559,0,28.4237726098191,70.5394190871369,0,0,3.25027085590466
"Sh2d2a",51.948051948052,20.9205020920502,16.4319248826291,0,266.149870801034,244.813278008299,0,5.52486187845304,8.12567713976165
"Siglecf",0,0,3.52112676056338,0,0,0,8.59598853868195,11.0497237569061,18.4182015167931
"Skint3",0,37.6569037656904,14.0845070422535,0,0,0,0,5.52486187845304,3.25027085590466
"Slamf8",1.18063754427391,33.4728033472803,66.9014084507042,0,2.58397932816537,0,2.86532951289398,16.5745856353591,1.62513542795233
"Spib",34.2384887839433,96.234309623431,4.69483568075117,0,5.16795865633075,2.76625172890733,17.1919770773639,33.1491712707182,31.4192849404117
"Tal1",0,0,1.17370892018779,181.818181818182,0,1.38312586445367,2.86532951289398,0,4.87540628385699
"Tarm1",0,8.36820083682008,0,90.9090909090909,0,0,5.73065902578797,0,43.8786565547129
"Tcf7",12.987012987013,8.36820083682008,15.2582159624413,181.818181818182,77.5193798449612,142.461964038728,2.86532951289398,0,14.626218851571
"Tgtp2",8.26446280991736,16.7364016736402,30.5164319248826,0,25.8397932816537,23.5131396957123,0,11.0497237569061,7.04225352112676
"Themis",8.26446280991736,8.36820083682008,1.17370892018779,0,38.7596899224806,45.6431535269709,2.86532951289398,0,3.25027085590466
"Tlr13",0,4.18410041841004,42.2535211267606,0,0,0,0,66.2983425414365,44.4203683640303
"Tlr5",0,8.36820083682008,2.34741784037559,0,0,0,0,0,0
"Tnfrsf13c",54.3093270365998,0,3.52112676056338,0,2.58397932816537,4.149377593361,0,5.52486187845304,13.0010834236186
"Tnfrsf18",14.1676505312869,41.8410041841004,8.21596244131455,0,77.5193798449612,96.8188105117566,25.7879656160458,0,16.7930660888407
"Tnip3",1.18063754427391,41.8410041841004,61.0328638497653,0,5.16795865633075,4.149377593361,0,0,1.62513542795233
"Tpsb2",7.08382526564345,4.18410041841004,8.21596244131455,11636.3636363636,7.75193798449612,2.76625172890733,0,0,0
