"","B cell","Dendritic cell","Macrophage","Neutrophil","NK cell","T cell","Basophil","Monocyte"
"Clec2g",6.13496932515337,0,0.391236306729264,0,0,0,0,0
"Clec4a3",42.9447852760736,37.9310344827586,285.211267605634,57.1428571428571,58.8235294117647,60,2.86532951289398,127.07182320442
"Clec4e",92.0245398773006,60.3448275862069,112.284820031299,628.571428571429,0,45,71.6332378223496,16.5745856353591
"Clec5a",0,1.72413793103448,7.04225352112676,0,0,2.5,169.054441260745,99.4475138121547
"Cma1",0,3.44827586206897,1.17370892018779,0,235.294117647059,2.5,0,0
"Ctsw",42.9447852760736,48.2758620689655,24.6478873239437,0,470.588235294118,320,0,0
"Cxcl2",276.073619631902,287.931034482759,2967.9186228482,1457.14285714286,117.647058823529,282.5,11.4613180515759,0
"Cxcl3",24.5398773006135,32.7586206896552,46.5571205007825,85.7142857142857,0,17.5,0,0
"Cxcr2",6.13496932515337,1.72413793103448,1.95618153364632,85.7142857142857,0,0,80.2292263610315,11.0497237569061
"Cxcr6",18.4049079754601,25.8620689655172,23.8654147104851,0,117.647058823529,262.5,0,0
"Dpep2",0,6.89655172413793,6.25978090766823,0,0,0,0,22.0994475138122
"Ear1",0,0,0,342.857142857143,0,0,2.86532951289398,11.0497237569061
"Ear2",49.079754601227,56.8965517241379,237.480438184664,85.7142857142857,0,35,108.882521489971,160.220994475138
"F730016J06Rik",0,0,0,0,0,0,11.4613180515759,0
"Fcer1a",0,0,0.782472613458529,28.5714285714286,0,0,63.0372492836676,0
"Fcer2a",36.8098159509202,0,3.52112676056338,0,0,7.5,2.86532951289398,0
"Fcgr4",134.969325153374,55.1724137931034,350.93896713615,171.428571428571,58.8235294117647,92.5,40.1146131805158,0
"Fcmr",300.613496932515,5.17241379310345,8.21596244131455,28.5714285714286,0,5,11.4613180515759,5.52486187845304
"Fcrl1",36.8098159509202,13.7931034482759,14.866979655712,0,0,7.5,5.73065902578797,5.52486187845304
"G430095P16Rik",0,6.89655172413793,0.782472613458529,0,0,2.5,2.86532951289398,33.1491712707182
"Gapt",0,12.0689655172414,2.34741784037559,28.5714285714286,0,0,85.9598853868195,171.270718232044
"Gm13986",0,0,0,0,0,0,5.73065902578797,5.52486187845304
"Gm20324",6.13496932515337,1.72413793103448,3.12989045383412,0,0,2.5,2.86532951289398,0
"Gm5544",0,1.72413793103448,0,0,0,0,0,0
"Gm8113",0,0,7.04225352112676,57.1428571428571,0,5,0,5.52486187845304
"Gm9733",0,1.72413793103448,4.69483568075117,0,0,2.5,20.0573065902579,27.6243093922652
"Gzma",171.779141104294,218.965517241379,145.148669796557,171.428571428571,7588.23529411765,1272.5,5.73065902578797,5.52486187845304
"Gzmb",12.2699386503067,82.7586206896552,70.4225352112676,542.857142857143,1588.23529411765,697.5,0,0
"H2-Eb2",42.9447852760736,17.2413793103448,1.17370892018779,0,0,0,0,0
"I830127L07Rik",42.9447852760736,0,5.86854460093897,85.7142857142857,0,7.5,1888.25214899713,1674.03314917127
"Ifi205",0,74.1379310344827,66.1189358372457,28.5714285714286,0,5,0,11.0497237569061
"Ifitm6",24.5398773006135,55.1724137931034,87.245696400626,257.142857142857,0,30,1753.58166189112,303.867403314917
"Il4",0,5.17241379310345,6.6510172143975,28.5714285714286,58.8235294117647,125,8.59598853868195,0
"Il9r",6.13496932515337,0,0.782472613458529,0,58.8235294117647,0,0,0
"Itga2b",0,6.89655172413793,0.782472613458529,28.5714285714286,0,2.5,14.3266475644699,0
"Itgam",18.4049079754601,22.4137931034483,30.1251956181534,114.285714285714,0,2.5,412.607449856734,132.596685082873
"Itgax",6.13496932515337,212.068965517241,68.8575899843505,171.428571428571,176.470588235294,47.5,2.86532951289398,11.0497237569061
"Izumo1r",0,5.17241379310345,2.34741784037559,0,0,50,2.86532951289398,0
"Klra13-ps",12.2699386503067,0,2.34741784037559,0,176.470588235294,7.5,0,0
"Klra7",6.13496932515337,5.17241379310345,3.52112676056338,28.5714285714286,0,17.5,0,0
"Klra8",0,0,3.12989045383412,0,0,32.5,0,0
"Klrc1",6.13496932515337,12.0689655172414,22.6917057902973,28.5714285714286,235.294117647059,105,2.86532951289398,0
"Klrd1",12.2699386503067,151.724137931034,27.3865414710485,57.1428571428571,470.588235294118,175,0,11.0497237569061
"Klre1",30.6748466257669,20.6896551724138,10.5633802816901,0,352.941176470588,105,0,0
"Klrg1",0,1.72413793103448,0,0,58.8235294117647,27.5,0,0
"Klri2",6.13496932515337,3.44827586206897,3.12989045383412,0,117.647058823529,22.5,0,0
"Klrk1",12.2699386503067,100,64.5539906103286,57.1428571428571,294.117647058824,115,0,5.52486187845304
"Lck",24.5398773006135,27.5862068965517,16.8231611893584,28.5714285714286,411.764705882353,225,11.4613180515759,0
"Ly6g",0,1.72413793103448,0,28.5714285714286,0,0,676.21776504298,116.022099447514
"Lyz1",0,10.3448275862069,19.170579029734,0,0,7.5,20.0573065902579,16.5745856353591
"Mcemp1",12.2699386503067,55.1724137931034,23.4741784037559,314.285714285714,0,22.5,736.389684813754,337.016574585635
"Mfsd7a",0,0,3.52112676056338,0,0,0,0,33.1491712707182
"Mmp25",0,3.44827586206897,0.391236306729264,0,0,0,25.7879656160458,0
"Ms4a2",0,0,0,0,0,0,51.5759312320917,0
"Ms4a4b",30.6748466257669,46.551724137931,33.6463223787167,0,882.352941176471,432.5,14.3266475644699,55.2486187845304
"Mzb1",1331.28834355828,29.3103448275862,14.866979655712,57.1428571428571,0,15,5.73065902578797,5.52486187845304
"Ncr1",6.13496932515337,6.89655172413793,1.95618153364632,28.5714285714286,58.8235294117647,22.5,0,0
"Nkg7",61.3496932515337,70.6896551724138,70.4225352112676,85.7142857142857,1941.17647058824,750,246.418338108883,110.497237569061
"Nudt17",0,41.3793103448276,2.73865414710485,28.5714285714286,0,2.5,0,5.52486187845304
"Olr1",0,6.89655172413793,6.25978090766823,0,0,0,37.2492836676218,0
"Padi4",0,0,1.56494522691706,0,0,0,94.5558739255014,33.1491712707182
"Prf1",24.5398773006135,1.72413793103448,4.30359937402191,0,411.764705882353,95,0,0
"Prg3",0,1.72413793103448,1.95618153364632,228.571428571429,0,2.5,14.3266475644699,11.0497237569061
"Prss57",6.13496932515337,1.72413793103448,0,0,0,2.5,131.805157593123,33.1491712707182
"Rab44",6.13496932515337,5.17241379310345,4.69483568075117,57.1428571428571,0,0,134.670487106017,60.7734806629834
"Rasgrp4",6.13496932515337,24.1379310344828,9.78090766823161,28.5714285714286,0,5,169.054441260745,116.022099447514
"Retnlg",104.294478527607,175.862068965517,148.669796557121,3800,58.8235294117647,132.5,8.59598853868195,187.845303867403
"Rgs18",0,10.3448275862069,1.95618153364632,0,0,0,74.4985673352435,38.6740331491713
"Sh2d1a",6.13496932515337,8.62068965517241,7.43348982785602,0,176.470588235294,70,0,0
"Sh2d2a",73.6196319018405,67.2413793103448,43.4272300469484,28.5714285714286,941.176470588235,527.5,0,5.52486187845304
"Siglecf",6.13496932515337,6.89655172413793,3.12989045383412,0,0,2.5,8.59598853868195,11.0497237569061
"Skint3",0,6.89655172413793,5.86854460093897,0,0,0,0,5.52486187845304
"Slamf8",42.9447852760736,55.1724137931034,71.5962441314554,57.1428571428571,0,17.5,2.86532951289398,16.5745856353591
"Spib",73.6196319018405,65.5172413793103,8.21596244131455,28.5714285714286,0,15,17.1919770773639,33.1491712707182
"Tal1",0,1.72413793103448,4.69483568075117,28.5714285714286,0,2.5,2.86532951289398,0
"Tarm1",0,8.62068965517241,5.4773082942097,28.5714285714286,0,0,5.73065902578797,0
"Tcf7",6.13496932515337,8.62068965517241,5.4773082942097,28.5714285714286,58.8235294117647,82.5,2.86532951289398,0
