"","B cell","Dendritic cell","Macrophage","T cell","Basophil","Monocyte","Neutrophil","NK cell"
"Cd22",32.6305220883534,8.69565217391304,57.3770491803279,5.29661016949153,0,0,14.0845070422535,37.1428571428571
"Cd27",4.01606425702811,17.3913043478261,4.09836065573771,139.300847457627,14.3266475644699,11.0497237569061,18.4182015167931,94.2857142857143
"Cd300ld",2.00803212851406,8.69565217391304,110.655737704918,0.529661016949153,14.3266475644699,11.0497237569061,138.678223185265,37.1428571428571
"Cd3d",56.2248995983936,78.2608695652174,98.3606557377049,1215.04237288136,8.59598853868195,5.52486187845304,78.0065005417118,157.142857142857
"Cd3e",13.0522088353414,8.69565217391304,40.983606557377,381.35593220339,0,0,7.5839653304442,25.7142857142857
"Cd3g",80.8232931726908,78.2608695652174,139.344262295082,2636.65254237288,14.3266475644699,0,39.0032502708559,157.142857142857
"Cd4",9.03614457831325,69.5652173913043,114.754098360656,34.4279661016949,0,0,2.16684723726977,2.85714285714286
"Cd40",11.0441767068273,34.7826086956522,49.1803278688525,1.05932203389831,0,16.5745856353591,1.62513542795233,5.71428571428571
"Cd5",3.5140562248996,26.0869565217391,4.09836065573771,92.6906779661017,0,0,2.16684723726977,5.71428571428571
"Cd6",9.03614457831325,0,40.983606557377,264.300847457627,0,0,5.95882990249187,22.8571428571429
"Cd7",93.3734939759036,721.739130434783,155.737704918033,4558.79237288136,31.5186246418338,55.2486187845304,14.0845070422535,320
"Cd79a",899.598393574297,26.0869565217391,40.983606557377,29.1313559322034,34.3839541547278,44.1988950276243,101.841820151679,137.142857142857
"Cd79b",554.718875502008,86.9565217391304,106.55737704918,104.872881355932,25.7879656160458,49.7237569060773,104.550379198267,225.714285714286
"Cd83",100.903614457831,408.695652173913,360.655737704918,22.2457627118644,0,5.52486187845304,8.12567713976165,20
"Cd8a",41.6666666666667,678.260869565217,102.459016393443,1679.55508474576,0,0,22.7518959913326,48.5714285714286
"Cd8b1",17.570281124498,956.521739130435,28.6885245901639,489.406779661017,5.73065902578797,11.0497237569061,62.296858071506,168.571428571429
