"","B cell","Basophil","Dendritic cell","Macrophage","Monocyte","Neutrophil","NK cell","T cell"
"Cd3d",152.653548002385,8.59598853868195,29.7029702970297,113.602391629297,5.52486187845304,78.0065005417118,157.142857142857,809.495548961424
"Cd3e",11.329755515802,0,0,12.7055306427504,0,7.5839653304442,25.7142857142857,93.7685459940653
"Cd3g",103.160405485987,14.3266475644699,39.6039603960396,56.8011958146487,0,39.0032502708559,157.142857142857,583.382789317507
"Cd4",7.75193798449612,0,59.4059405940594,0,0,2.16684723726977,2.85714285714286,40.9495548961424
"Cd40",40.5485986881336,0,0,29.1479820627803,16.5745856353591,1.62513542795233,5.71428571428571,3.56083086053412
"Cd5",3.5778175313059,0,0,3.73692077727952,0,2.16684723726977,5.71428571428571,35.0148367952522
"Cd6",10.1371496720334,0,0,14.9476831091181,0,5.95882990249187,22.8571428571429,97.9228486646884
"Cd7",17.2927847346452,31.5186246418338,742.574257425743,35.1270553064275,55.2486187845304,14.0845070422535,320,125.816023738872
"Cd79a",1255.81395348837,34.3839541547278,29.7029702970297,77.727952167414,44.1988950276243,101.841820151679,137.142857142857,51.0385756676558
"Cd79b",1045.91532498509,25.7879656160458,69.3069306930693,146.487294469357,49.7237569060773,104.550379198267,225.714285714286,124.035608308605
"Cd83",84.6750149075731,0,29.7029702970297,27.6532137518685,5.52486187845304,8.12567713976165,20,13.6498516320475
"Cd8a",45.9153249850924,0,29.7029702970297,42.6008968609865,0,22.7518959913326,48.5714285714286,351.3353115727
"Cd8b1",125.819916517591,5.73065902578797,29.7029702970297,91.1808669656203,11.0497237569061,62.296858071506,168.571428571429,967.952522255193
"Clec2g",0,0,0,0.747384155455904,0,0,0,0
"Clec4a3",23.2558139534884,2.86532951289398,89.1089108910891,624.813153961136,127.07182320442,29.2524377031419,34.2857142857143,18.3976261127596
"Clec4e",30.4114490161002,71.6332378223496,9.9009900990099,89.6860986547085,16.5745856353591,235.10292524377,34.2857142857143,21.3649851632047
"Clec5a",7.75193798449612,169.054441260745,19.8019801980198,37.3692077727952,99.4475138121547,116.46803900325,2.85714285714286,1.18694362017804
"Cma1",17.8890876565295,0,0,10.4633781763827,0,4.87540628385699,342.857142857143,10.6824925816024
"Ctsw",56.6487775790101,0,19.8019801980198,51.5695067264574,0,29.2524377031419,605.714285714286,283.086053412463
"Cxcl2",0.596302921884317,11.4613180515759,0,2.24215246636771,0,49.8374864572048,2.85714285714286,5.34124629080119
"Cxcl3",0,0,0,0,0,0,0,0
"Cxcr2",22.0632081097197,80.2292263610315,0,20.1793721973094,11.0497237569061,308.775731310943,20,8.90207715133531
"Cxcr6",5.96302921884317,0,0,3.73692077727952,0,4.33369447453954,5.71428571428571,47.4777448071217
